Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.8 [0.4-1.5],South Asia,0.8
Afghanistan,Male,0.3 [0.1-0.9],South Asia,0.3
Afghanistan,Female,1.2 [0.4-2.6],South Asia,1.2
Albania,Both sexes,7.8 [5.1-11.4],Balkans,7.8
Albania,Male,5.8 [2.8-10.1],Balkans,5.8
Albania,Female,9.9 [5.5-15.8],Balkans,9.9
Algeria,Both sexes,9.0 [5.9-12.6],North Africa,9.0
Algeria,Male,4.0 [1.9-7.2],North Africa,4.0
Algeria,Female,13.6 [8.2-20.1],North Africa,13.6
Andorra,Both sexes,16.5 [12.1-21.5],Southern Europe,16.5
Andorra,Male,13.3 [7.8-20.0],Southern Europe,13.3
Andorra,Female,19.4 [12.9-27.0],Southern Europe,19.4
Angola,Both sexes,1.3 [0.5-2.5],Southern Africa,1.3
Angola,Male,0.4 [0.1-1.1],Southern Africa,0.4
Angola,Female,2.0 [0.7-4.3],Southern Africa,2.0
Antigua and Barbuda,Both sexes,7.1 [4.4-10.5],Caribbean,7.1
Antigua and Barbuda,Male,3.2 [1.4-6.2],Caribbean,3.2
Antigua and Barbuda,Female,10.9 [6.1-17.1],Caribbean,10.9
Argentina,Both sexes,13.5 [10.0-17.4],South America,13.5
Argentina,Male,11.3 [7.0-16.8],South America,11.3
Argentina,Female,15.4 [10.5-21.3],South America,15.4
Armenia,Both sexes,9.3 [6.1-13.1],Eastern Europe,9.3
Armenia,Male,6.2 [2.9-10.7],Eastern Europe,6.2
Armenia,Female,11.8 [6.9-17.9],Eastern Europe,11.8
Australia,Both sexes,12.5 [10.3-14.9],Oceania,12.5
Australia,Male,11.8 [8.7-15.1],Oceania,11.8
Australia,Female,13.1 [10.1-16.5],Oceania,13.1
Austria,Both sexes,8.6 [6.4-11.2],Eastern Europe,8.6
Austria,Male,7.9 [4.9-11.8],Eastern Europe,7.9
Austria,Female,9.0 [6.0-12.5],Eastern Europe,9.0
Azerbaijan,Both sexes,7.9 [5.0-11.6],Eastern Europe,7.9
Azerbaijan,Male,4.9 [2.2-9.0],Eastern Europe,4.9
Azerbaijan,Female,10.2 [5.6-16.1],Eastern Europe,10.2
Bahamas,Both sexes,15.0 [10.7-19.9],Caribbean,15.0
Bahamas,Male,7.9 [4.1-13.2],Caribbean,7.9
Bahamas,Female,21.3 [14.1-29.6],Caribbean,21.3
Bahrain,Both sexes,16.1 [12.3-20.5],Middle East,16.1
Bahrain,Male,10.7 [6.3-16.2],Middle East,10.7
Bahrain,Female,24.5 [17.6-32.1],Middle East,24.5
Bangladesh,Both sexes,0.4 [0.2-0.7],South Asia,0.4
Bangladesh,Male,0.2 [0.0-0.4],South Asia,0.2
Bangladesh,Female,0.6 [0.2-1.3],South Asia,0.6
Barbados,Both sexes,9.8 [6.9-13.5],Caribbean,9.8
Barbados,Male,4.2 [2.1-7.2],Caribbean,4.2
Barbados,Female,14.3 [9.3-20.6],Caribbean,14.3
Belarus,Both sexes,12.5 [8.4-17.2],Eastern Europe,12.5
Belarus,Male,7.0 [3.5-11.8],Eastern Europe,7.0
Belarus,Female,16.7 [10.0-24.6],Eastern Europe,16.7
Belgium,Both sexes,12.0 [9.7-14.5],Western Europe,12.0
Belgium,Male,10.2 [7.4-13.5],Western Europe,10.2
Belgium,Female,13.6 [10.2-17.4],Western Europe,13.6
Belize,Both sexes,10.2 [6.8-13.9],Central America,10.2
Belize,Male,5.0 [2.4-8.8],Central America,5.0
Belize,Female,15.4 [9.6-22.1],Central America,15.4
Benin,Both sexes,1.8 [1.0-3.1],West Africa,1.8
Benin,Male,0.6 [0.2-1.4],West Africa,0.6
Benin,Female,2.8 [1.4-5.0],West Africa,2.8
Bhutan,Both sexes,0.7 [0.3-1.3],South Asia,0.7
Bhutan,Male,0.3 [0.1-0.8],South Asia,0.3
Bhutan,Female,1.0 [0.4-2.2],South Asia,1.0
Bolivia (Plurinational State of),Both sexes,6.4 [3.9-9.7],South America,6.4
Bolivia (Plurinational State of),Male,3.1 [1.2-6.5],South America,3.1
Bolivia (Plurinational State of),Female,9.5 [5.0-15.2],South America,9.5
Bosnia and Herzegovina,Both sexes,7.8 [5.1-11.4],Balkans,7.8
Bosnia and Herzegovina,Male,5.5 [2.7-9.5],Balkans,5.5
Bosnia and Herzegovina,Female,9.7 [5.4-15.5],Balkans,9.7
Botswana,Both sexes,4.2 [2.2-7.2],Southern Africa,4.2
Botswana,Male,0.6 [0.2-1.6],Southern Africa,0.6
Botswana,Female,7.2 [3.5-12.7],Southern Africa,7.2
Brazil,Both sexes,7.2 [5.3-9.5],South America,7.2
Brazil,Male,4.6 [2.7-7.1],South America,4.6
Brazil,Female,9.8 [6.6-13.7],South America,9.8
Brunei Darussalam,Both sexes,3.1 [1.7-4.8],Southeast Asia,3.1
Brunei Darussalam,Male,1.8 [0.7-3.7],Southeast Asia,1.8
Brunei Darussalam,Female,4.6 [2.2-8.0],Southeast Asia,4.6
Bulgaria,Both sexes,12.8 [9.0-17.3],Balkans,12.8
Bulgaria,Male,9.9 [5.5-15.6],Balkans,9.9
Bulgaria,Female,15.5 [9.8-22.6],Balkans,15.5
Burkina Faso,Both sexes,0.7 [0.3-1.3],West Africa,0.7
Burkina Faso,Male,0.2 [0.1-0.6],West Africa,0.2
Burkina Faso,Female,1.1 [0.4-2.1],West Africa,1.1
Burundi,Both sexes,0.9 [0.4-1.7],East Africa,0.9
Burundi,Male,0.3 [0.1-0.8],East Africa,0.3
Burundi,Female,1.4 [0.5-2.9],East Africa,1.4
Cabo Verde,Both sexes,1.7 [0.9-3.1],West Africa,1.7
Cabo Verde,Male,0.5 [0.2-1.3],West Africa,0.5
Cabo Verde,Female,2.6 [1.1-4.8],West Africa,2.6
Cambodia,Both sexes,0.4 [0.2-0.8],Southeast Asia,0.4
Cambodia,Male,0.2 [0.0-0.5],Southeast Asia,0.2
Cambodia,Female,0.6 [0.2-1.2],Southeast Asia,0.6
Cameroon,Both sexes,2.2 [1.3-3.4],Central Africa,2.2
Cameroon,Male,0.8 [0.3-1.6],Central Africa,0.8
Cameroon,Female,3.5 [1.8-5.8],Central Africa,3.5
Canada,Both sexes,11.9 [9.6-14.5],North America,11.9
Canada,Male,11.0 [7.8-14.7],North America,11.0
Canada,Female,12.8 [9.4-16.5],North America,12.8
Central African Republic,Both sexes,1.8 [0.8-3.2],Central Africa,1.8
Central African Republic,Male,0.6 [0.2-1.5],Central Africa,0.6
Central African Republic,Female,2.8 [1.1-5.4],Central Africa,2.8
Chad,Both sexes,1.2 [0.6-2.1],North Africa,1.2
Chad,Male,0.5 [0.1-1.1],North Africa,0.5
Chad,Female,1.8 [0.8-3.4],North Africa,1.8
Chile,Both sexes,13.7 [10.3-17.6],South America,13.7
Chile,Male,10.2 [6.3-15.2],South America,10.2
Chile,Female,16.9 [11.7-22.9],South America,16.9
China,Both sexes,0.7 [0.5-1.0],East Asia,0.7
China,Male,0.4 [0.2-0.6],East Asia,0.4
China,Female,1.1 [0.6-1.7],East Asia,1.1
Colombia,Both sexes,8.7 [6.1-11.7],South America,8.7
Colombia,Male,4.8 [2.5-8.1],South America,4.8
Colombia,Female,12.2 [7.7-17.4],South America,12.2
Comoros,Both sexes,1.7 [0.9-3.1],Southern Africa,1.7
Comoros,Male,0.6 [0.2-1.4],Southern Africa,0.6
Comoros,Female,2.8 [1.3-5.3],Southern Africa,2.8
Congo,Both sexes,2.3 [1.3-3.7],Central Africa,2.3
Congo,Male,0.8 [0.3-1.7],Central Africa,0.8
Congo,Female,3.7 [1.9-6.2],Central Africa,3.7
Cook Islands,Both sexes,32.0 [25.9-38.5],Oceania,32.0
Cook Islands,Male,25.6 [17.4-34.6],Oceania,25.6
Cook Islands,Female,38.6 [29.8-47.6],Oceania,38.6
Costa Rica,Both sexes,7.0 [4.5-9.9],Central America,7.0
Costa Rica,Male,4.0 [1.9-7.3],Central America,4.0
Costa Rica,Female,9.9 [5.8-15.2],Central America,9.9
Croatia,Both sexes,11.8 [8.4-15.8],Balkans,11.8
Croatia,Male,8.7 [5.1-13.6],Balkans,8.7
Croatia,Female,14.1 [9.0-20.3],Balkans,14.1
Cuba,Both sexes,10.2 [7.3-13.6],Caribbean,10.2
Cuba,Male,5.2 [2.7-8.4],Caribbean,5.2
Cuba,Female,15.3 [10.1-21.4],Caribbean,15.3
Cyprus,Both sexes,8.8 [5.9-12.3],Balkans,8.8
Cyprus,Male,6.9 [3.6-11.4],Balkans,6.9
Cyprus,Female,10.5 [6.1-15.8],Balkans,10.5
Czechia,Both sexes,16.7 [12.9-21.0],Eastern Europe,16.7
Czechia,Male,13.2 [8.6-18.8],Eastern Europe,13.2
Czechia,Female,19.8 [14.1-26.3],Eastern Europe,19.8
Côte d'Ivoire,Both sexes,2.2 [1.2-3.4],West Africa,2.2
Côte d'Ivoire,Male,0.8 [0.3-1.9],West Africa,0.8
Côte d'Ivoire,Female,3.7 [1.9-6.4],West Africa,3.7
Democratic People's Republic of Korea,Both sexes,2.3 [1.1-4.0],East Asia,2.3
Democratic People's Republic of Korea,Male,1.2 [0.4-2.6],East Asia,1.2
Democratic People's Republic of Korea,Female,3.0 [1.2-5.8],East Asia,3.0
Democratic Republic of the Congo,Both sexes,1.2 [0.6-2.3],Central Africa,1.2
Democratic Republic of the Congo,Male,0.4 [0.1-1.2],Central Africa,0.4
Democratic Republic of the Congo,Female,1.9 [0.8-3.7],Central Africa,1.9
Denmark,Both sexes,8.9 [6.9-11.1],Northern Europe,8.9
Denmark,Male,8.3 [5.8-11.2],Northern Europe,8.3
Denmark,Female,9.3 [6.3-13.0],Northern Europe,9.3
Djibouti,Both sexes,5.6 [3.3-8.7],East Africa,5.6
Djibouti,Male,2.4 [0.9-5.3],East Africa,2.4
Djibouti,Female,8.6 [4.4-14.2],East Africa,8.6
Dominica,Both sexes,9.2 [6.1-12.9],Caribbean,9.2
Dominica,Male,4.1 [1.8-7.6],Caribbean,4.1
Dominica,Female,14.0 [8.7-20.8],Caribbean,14.0
Dominican Republic,Both sexes,8.3 [5.8-11.3],Caribbean,8.3
Dominican Republic,Male,4.1 [2.1-7.0],Caribbean,4.1
Dominican Republic,Female,12.9 [8.4-18.3],Caribbean,12.9
Ecuador,Both sexes,6.8 [4.1-10.2],South America,6.8
Ecuador,Male,3.6 [1.5-7.0],South America,3.6
Ecuador,Female,9.9 [5.2-16.1],South America,9.9
Egypt,Both sexes,14.6 [10.9-18.6],North Africa,14.6
Egypt,Male,7.3 [4.1-11.3],North Africa,7.3
Egypt,Female,21.3 [15.2-28.2],North Africa,21.3
El Salvador,Both sexes,7.7 [4.8-11.2],Central America,7.7
El Salvador,Male,4.2 [1.9-7.9],Central America,4.2
El Salvador,Female,10.7 [6.1-16.8],Central America,10.7
Equatorial Guinea,Both sexes,1.7 [0.8-3.2],Central Africa,1.7
Equatorial Guinea,Male,0.5 [0.1-1.4],Central Africa,0.5
Equatorial Guinea,Female,2.8 [1.2-5.5],Central Africa,2.8
Eritrea,Both sexes,0.9 [0.4-1.7],East Africa,0.9
Eritrea,Male,0.3 [0.1-0.8],East Africa,0.3
Eritrea,Female,1.4 [0.6-2.8],East Africa,1.4
Estonia,Both sexes,14.2 [10.8-18.1],Eastern Europe,14.2
Estonia,Male,9.1 [5.9-13.3],Eastern Europe,9.1
Estonia,Female,18.0 [12.6-24.3],Eastern Europe,18.0
Eswatini,Both sexes,5.5 [3.1-8.9],Southern Africa,5.5
Eswatini,Male,0.9 [0.3-2.1],Southern Africa,0.9
Eswatini,Female,9.1 [4.8-15.1],Southern Africa,9.1
Ethiopia,Both sexes,0.7 [0.3-1.4],East Africa,0.7
Ethiopia,Male,0.3 [0.1-0.7],East Africa,0.3
Ethiopia,Female,1.2 [0.4-2.4],East Africa,1.2
Fiji,Both sexes,11.9 [7.7-16.7],Oceania,11.9
Fiji,Male,7.6 [3.5-13.6],Oceania,7.6
Fiji,Female,16.4 [9.4-24.6],Oceania,16.4
Finland,Both sexes,9.2 [7.4-11.2],Northern Europe,9.2
Finland,Male,8.2 [5.9-10.9],Northern Europe,8.2
Finland,Female,9.9 [7.4-12.8],Northern Europe,9.9
France,Both sexes,10.5 [7.9-13.5],Western Europe,10.5
France,Male,8.6 [5.6-12.3],Western Europe,8.6
France,Female,12.2 [8.4-16.8],Western Europe,12.2
Gabon,Both sexes,3.4 [1.8-5.6],Central Africa,3.4
