Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,5.2 [3.3-7.7],South Asia,5.2
Afghanistan,Male,3.0 [1.3-6.0],South Asia,3.0
Afghanistan,Female,7.3 [4.1-11.8],South Asia,7.3
Albania,Both sexes,21.1 [16.6-26.0],Balkans,21.1
Albania,Male,20.9 [14.4-28.1],Balkans,20.9
Albania,Female,21.3 [15.1-28.1],Balkans,21.3
Algeria,Both sexes,26.7 [21.9-31.8],North Africa,26.7
Algeria,Male,19.2 [13.2-26.1],North Africa,19.2
Algeria,Female,34.2 [27.1-41.7],North Africa,34.2
Andorra,Both sexes,25.4 [20.1-31.0],Southern Europe,25.4
Andorra,Male,25.5 [17.8-33.8],Southern Europe,25.5
Andorra,Female,25.2 [17.7-33.4],Southern Europe,25.2
Angola,Both sexes,7.9 [4.9-11.7],Southern Africa,7.9
Angola,Male,3.8 [1.5-7.3],Southern Africa,3.8
Angola,Female,11.6 [6.5-18.2],Southern Africa,11.6
Antigua and Barbuda,Both sexes,18.4 [13.5-23.8],Caribbean,18.4
Antigua and Barbuda,Male,11.2 [6.2-17.8],Caribbean,11.2
Antigua and Barbuda,Female,25.3 [17.3-34.3],Caribbean,25.3
Argentina,Both sexes,27.8 [23.2-32.7],South America,27.8
Argentina,Male,26.8 [20.2-34.1],South America,26.8
Argentina,Female,28.5 [22.3-35.1],South America,28.5
Armenia,Both sexes,19.7 [15.4-24.2],Eastern Europe,19.7
Armenia,Male,16.6 [10.9-23.3],Eastern Europe,16.6
Armenia,Female,22.6 [16.4-29.1],Eastern Europe,22.6
Australia,Both sexes,28.4 [24.9-32.1],Oceania,28.4
Australia,Male,28.9 [23.9-34.3],Oceania,28.9
Australia,Female,27.9 [23.0-33.1],Oceania,27.9
Austria,Both sexes,19.7 [15.6-23.9],Eastern Europe,19.7
Austria,Male,21.3 [15.4-28.1],Eastern Europe,21.3
Austria,Female,18.0 [12.8-23.8],Eastern Europe,18.0
Azerbaijan,Both sexes,19.3 [14.9-24.1],Eastern Europe,19.3
Azerbaijan,Male,15.3 [9.5-22.0],Eastern Europe,15.3
Azerbaijan,Female,23.0 [16.5-30.2],Eastern Europe,23.0
Bahamas,Both sexes,31.0 [25.2-37.1],Caribbean,31.0
Bahamas,Male,23.8 [16.0-32.3],Caribbean,23.8
Bahamas,Female,37.6 [28.8-46.6],Caribbean,37.6
Bahrain,Both sexes,29.3 [24.2-34.5],Middle East,29.3
Bahrain,Male,24.9 [18.1-31.9],Middle East,24.9
Bahrain,Female,36.4 [29.1-43.9],Middle East,36.4
Bangladesh,Both sexes,3.4 [2.3-4.7],South Asia,3.4
Bangladesh,Male,2.1 [1.0-3.7],South Asia,2.1
Bangladesh,Female,4.7 [2.9-7.0],South Asia,4.7
Barbados,Both sexes,22.5 [17.9-27.5],Caribbean,22.5
Barbados,Male,14.2 [9.1-20.5],Caribbean,14.2
Barbados,Female,30.7 [23.4-38.4],Caribbean,30.7
Belarus,Both sexes,24.1 [19.2-29.4],Eastern Europe,24.1
Belarus,Male,21.6 [14.8-28.8],Eastern Europe,21.6
Belarus,Female,26.0 [18.9-33.8],Eastern Europe,26.0
Belgium,Both sexes,21.7 [18.4-25.2],Western Europe,21.7
Belgium,Male,22.6 [17.8-27.8],Western Europe,22.6
Belgium,Female,20.7 [16.2-25.6],Western Europe,20.7
Belize,Both sexes,23.6 [18.7-29.0],Central America,23.6
Belize,Male,16.0 [10.2-23.3],Central America,16.0
