Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,3.2 [2.0-4.9],South Asia,3.2
Afghanistan,Male,1.7 [0.7-3.5],South Asia,1.7
Afghanistan,Female,4.7 [2.6-7.7],South Asia,4.7
Albania,Both sexes,16.0 [12.4-19.8],Balkans,16.0
Albania,Male,14.9 [9.9-20.5],Balkans,14.9
Albania,Female,17.1 [12.2-22.5],Balkans,17.1
Algeria,Both sexes,20.8 [17.1-24.7],North Africa,20.8
Algeria,Male,13.4 [9.1-18.4],North Africa,13.4
Algeria,Female,28.2 [22.5-34.1],North Africa,28.2
Andorra,Both sexes,23.6 [19.0-28.5],Southern Europe,23.6
Andorra,Male,22.6 [16.0-29.8],Southern Europe,22.6
Andorra,Female,24.5 [17.9-31.5],Southern Europe,24.5
Angola,Both sexes,5.0 [3.0-7.7],Southern Africa,5.0
Angola,Male,2.1 [0.8-4.3],Southern Africa,2.1
Angola,Female,7.7 [4.2-12.4],Southern Africa,7.7
Antigua and Barbuda,Both sexes,14.7 [11.0-18.9],Caribbean,14.7
Antigua and Barbuda,Male,8.4 [4.7-13.0],Caribbean,8.4
Antigua and Barbuda,Female,20.8 [14.5-28.0],Caribbean,20.8
Argentina,Both sexes,23.4 [19.9-27.2],South America,23.4
Argentina,Male,22.0 [17.0-27.5],South America,22.0
Argentina,Female,24.6 [19.9-29.7],South America,24.6
Armenia,Both sexes,16.0 [12.6-19.7],Eastern Europe,16.0
Armenia,Male,12.8 [8.1-18.4],Eastern Europe,12.8
Armenia,Female,18.8 [13.9-24.3],Eastern Europe,18.8
Australia,Both sexes,23.5 [21.1-26.1],Oceania,23.5
Australia,Male,23.5 [19.9-27.1],Oceania,23.5
Australia,Female,23.5 [20.2-27.1],Oceania,23.5
Austria,Both sexes,16.1 [13.1-19.4],Eastern Europe,16.1
Austria,Male,17.0 [12.6-22.1],Eastern Europe,17.0
Austria,Female,15.2 [11.4-19.5],Eastern Europe,15.2
Azerbaijan,Both sexes,14.8 [11.3-18.6],Eastern Europe,14.8
Azerbaijan,Male,11.0 [6.6-16.2],Eastern Europe,11.0
Azerbaijan,Female,18.1 [13.1-24.0],Eastern Europe,18.1
Bahamas,Both sexes,26.6 [21.7-31.7],Caribbean,26.6
Bahamas,Male,18.9 [12.7-25.8],Caribbean,18.9
Bahamas,Female,33.6 [26.1-41.5],Caribbean,33.6
Bahrain,Both sexes,25.0 [21.1-29.1],Middle East,25.0
Bahrain,Male,20.2 [14.8-25.8],Middle East,20.2
Bahrain,Female,32.8 [27.0-38.7],Middle East,32.8
Bangladesh,Both sexes,1.9 [1.3-2.7],South Asia,1.9
Bangladesh,Male,1.1 [0.5-1.9],South Asia,1.1
Bangladesh,Female,2.8 [1.8-4.2],South Asia,2.8
Barbados,Both sexes,17.9 [14.6-21.6],Caribbean,17.9
Barbados,Male,10.2 [6.7-14.6],Caribbean,10.2
Barbados,Female,25.2 [19.8-31.2],Caribbean,25.2
Belarus,Both sexes,20.9 [16.7-25.4],Eastern Europe,20.9
Belarus,Male,17.1 [11.6-23.5],Eastern Europe,17.1
Belarus,Female,23.9 [17.6-30.7],Eastern Europe,23.9
