Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.7 [1.0-2.9],South Asia,1.7
Afghanistan,Male,0.8 [0.3-1.9],South Asia,0.8
Afghanistan,Female,2.6 [1.2-4.7],South Asia,2.6
Albania,Both sexes,11.3 [8.2-14.9],Balkans,11.3
Albania,Male,9.6 [5.6-14.6],Balkans,9.6
Albania,Female,13.1 [8.7-18.3],Balkans,13.1
Algeria,Both sexes,14.8 [11.4-18.3],North Africa,14.8
Algeria,Male,8.2 [4.8-12.3],North Africa,8.2
Algeria,Female,21.1 [15.5-27.0],North Africa,21.1
Andorra,Both sexes,21.0 [16.4-25.9],Southern Europe,21.0
Andorra,Male,18.8 [12.4-25.9],Southern Europe,18.8
Andorra,Female,23.0 [16.5-29.9],Southern Europe,23.0
Angola,Both sexes,2.7 [1.4-4.5],Southern Africa,2.7
Angola,Male,1.0 [0.3-2.3],Southern Africa,1.0
Angola,Female,4.3 [2.0-7.6],Southern Africa,4.3
Antigua and Barbuda,Both sexes,11.0 [7.8-14.7],Caribbean,11.0
Antigua and Barbuda,Male,5.7 [3.0-9.5],Caribbean,5.7
Antigua and Barbuda,Female,16.1 [10.5-22.8],Caribbean,16.1
Argentina,Both sexes,18.6 [15.3-22.4],South America,18.6
Argentina,Male,16.8 [12.0-22.2],South America,16.8
Argentina,Female,20.2 [15.7-25.4],South America,20.2
Armenia,Both sexes,12.8 [9.5-16.6],Eastern Europe,12.8
Armenia,Male,9.5 [5.4-14.8],Eastern Europe,9.5
Armenia,Female,15.4 [10.6-20.9],Eastern Europe,15.4
Australia,Both sexes,17.6 [15.4-20.0],Oceania,17.6
Australia,Male,17.1 [13.9-20.6],Oceania,17.1
Australia,Female,18.0 [15.0-21.2],Oceania,18.0
Austria,Both sexes,12.3 [9.7-15.2],Eastern Europe,12.3
Austria,Male,12.3 [8.6-16.9],Eastern Europe,12.3
Austria,Female,12.1 [8.8-15.8],Eastern Europe,12.1
Azerbaijan,Both sexes,11.1 [8.0-14.7],Eastern Europe,11.1
Azerbaijan,Male,7.7 [4.2-12.3],Eastern Europe,7.7
Azerbaijan,Female,14.0 [9.3-19.5],Eastern Europe,14.0
Bahamas,Both sexes,21.4 [16.7-26.3],Caribbean,21.4
Bahamas,Male,13.5 [8.3-20.0],Caribbean,13.5
Bahamas,Female,28.5 [21.2-36.2],Caribbean,28.5
Bahrain,Both sexes,21.0 [17.3-24.9],Middle East,21.0
Bahrain,Male,15.5 [10.7-20.9],Middle East,15.5
Bahrain,Female,29.1 [23.2-35.2],Middle East,29.1
Bangladesh,Both sexes,1.0 [0.6-1.4],South Asia,1.0
