Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.8 [0.4-1.6],South Asia,0.8
Afghanistan,Male,0.4 [0.1-0.9],South Asia,0.4
Afghanistan,Female,1.3 [0.5-2.7],South Asia,1.3
Albania,Both sexes,8.0 [5.3-11.6],Balkans,8.0
Albania,Male,6.0 [2.9-10.4],Balkans,6.0
Albania,Female,10.1 [5.7-15.9],Balkans,10.1
Algeria,Both sexes,9.4 [6.2-12.9],North Africa,9.4
Algeria,Male,4.3 [2.0-7.5],North Africa,4.3
Algeria,Female,14.1 [8.8-20.5],North Africa,14.1
Andorra,Both sexes,16.9 [12.5-21.9],Southern Europe,16.9
Andorra,Male,13.8 [8.1-20.5],Southern Europe,13.8
Andorra,Female,19.8 [13.3-27.2],Southern Europe,19.8
Angola,Both sexes,1.3 [0.6-2.6],Southern Africa,1.3
Angola,Male,0.4 [0.1-1.2],Southern Africa,0.4
Angola,Female,2.2 [0.8-4.5],Southern Africa,2.2
Antigua and Barbuda,Both sexes,7.4 [4.7-10.7],Caribbean,7.4
Antigua and Barbuda,Male,3.3 [1.5-6.4],Caribbean,3.3
Antigua and Barbuda,Female,11.3 [6.4-17.3],Caribbean,11.3
Argentina,Both sexes,13.8 [10.5-17.7],South America,13.8
Argentina,Male,11.7 [7.3-17.2],South America,11.7
Argentina,Female,15.7 [10.9-21.5],South America,15.7
Armenia,Both sexes,9.5 [6.3-13.3],Eastern Europe,9.5
Armenia,Male,6.4 [3.1-11.0],Eastern Europe,6.4
Armenia,Female,12.1 [7.2-18.0],Eastern Europe,12.1
Australia,Both sexes,12.8 [10.7-15.2],Oceania,12.8
Australia,Male,12.1 [9.0-15.3],Oceania,12.1
Australia,Female,13.4 [10.4-16.7],Oceania,13.4
Austria,Both sexes,8.8 [6.6-11.4],Eastern Europe,8.8
Austria,Male,8.2 [5.2-12.1],Eastern Europe,8.2
Austria,Female,9.2 [6.2-12.7],Eastern Europe,9.2
Azerbaijan,Both sexes,8.1 [5.2-11.8],Eastern Europe,8.1
Azerbaijan,Male,5.1 [2.3-9.2],Eastern Europe,5.1
Azerbaijan,Female,10.5 [5.9-16.4],Eastern Europe,10.5
Bahamas,Both sexes,15.5 [11.1-20.4],Caribbean,15.5
Bahamas,Male,8.3 [4.4-13.6],Caribbean,8.3
Bahamas,Female,21.9 [14.7-30.1],Caribbean,21.9
Bahrain,Both sexes,16.5 [12.7-20.9],Middle East,16.5
Bahrain,Male,11.1 [6.6-16.4],Middle East,11.1
Bahrain,Female,24.8 [18.0-32.3],Middle East,24.8
Bangladesh,Both sexes,0.4 [0.2-0.7],South Asia,0.4
Bangladesh,Male,0.2 [0.1-0.4],South Asia,0.2
Bangladesh,Female,0.7 [0.3-1.3],South Asia,0.7
Barbados,Both sexes,10.1 [7.1-13.7],Caribbean,10.1
Barbados,Male,4.4 [2.3-7.4],Caribbean,4.4
Barbados,Female,14.7 [9.7-20.8],Caribbean,14.7
Belarus,Both sexes,12.9 [8.8-17.5],Eastern Europe,12.9
Belarus,Male,7.3 [3.8-12.2],Eastern Europe,7.3
Belarus,Female,17.1 [10.5-24.9],Eastern Europe,17.1
Belgium,Both sexes,12.3 [10.0-14.7],Western Europe,12.3
Belgium,Male,10.5 [7.7-13.7],Western Europe,10.5
Belgium,Female,13.8 [10.4-17.5],Western Europe,13.8
Belize,Both sexes,10.4 [7.1-14.2],Central America,10.4
