Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.6 [0.2-1.2],South Asia,0.6
Afghanistan,Male,0.2 [0.0-0.7],South Asia,0.2
Afghanistan,Female,0.9 [0.3-2.1],South Asia,0.9
Albania,Both sexes,6.8 [4.0-10.7],Balkans,6.8
Albania,Male,4.8 [2.0-9.3],Balkans,4.8
Albania,Female,8.9 [4.3-15.4],Balkans,8.9
Algeria,Both sexes,7.4 [4.3-11.3],North Africa,7.4
Algeria,Male,3.1 [1.2-6.2],North Africa,3.1
Algeria,Female,11.4 [6.2-18.4],North Africa,11.4
Andorra,Both sexes,14.0 [9.6-19.1],Southern Europe,14.0
Andorra,Male,10.7 [5.6-17.4],Southern Europe,10.7
Andorra,Female,16.9 [10.4-24.8],Southern Europe,16.9
Angola,Both sexes,0.9 [0.3-2.0],Southern Africa,0.9
Angola,Male,0.3 [0.0-0.9],Southern Africa,0.3
Angola,Female,1.5 [0.4-3.6],Southern Africa,1.5
Antigua and Barbuda,Both sexes,6.0 [3.4-9.5],Caribbean,6.0
Antigua and Barbuda,Male,2.5 [0.9-5.4],Caribbean,2.5
Antigua and Barbuda,Female,9.3 [4.7-15.9],Caribbean,9.3
Argentina,Both sexes,11.8 [8.2-16.0],South America,11.8
Argentina,Male,9.6 [5.2-15.4],South America,9.6
Argentina,Female,13.8 [8.6-20.3],South America,13.8
Armenia,Both sexes,7.9 [4.8-11.9],Eastern Europe,7.9
Armenia,Male,4.9 [2.0-9.3],Eastern Europe,4.9
Armenia,Female,10.2 [5.3-16.7],Eastern Europe,10.2
Australia,Both sexes,11.0 [8.6-13.8],Oceania,11.0
Australia,Male,10.3 [7.0-14.1],Oceania,10.3
Australia,Female,11.7 [8.3-15.6],Oceania,11.7
Austria,Both sexes,7.5 [5.3-10.2],Eastern Europe,7.5
Austria,Male,6.7 [3.8-10.7],Eastern Europe,6.7
Austria,Female,8.1 [5.0-11.9],Eastern Europe,8.1
Azerbaijan,Both sexes,6.8 [3.9-10.7],Eastern Europe,6.8
Azerbaijan,Male,4.0 [1.5-8.1],Eastern Europe,4.0
Azerbaijan,Female,8.9 [4.3-15.4],Eastern Europe,8.9
Bahamas,Both sexes,12.8 [8.5-18.0],Caribbean,12.8
Bahamas,Male,6.3 [2.8-11.3],Caribbean,6.3
