Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,2.6 [1.5-4.0],South Asia,2.6
Afghanistan,Male,1.3 [0.5-2.8],South Asia,1.3
Afghanistan,Female,3.8 [2.0-6.4],South Asia,3.8
Albania,Both sexes,14.0 [10.7-17.7],Balkans,14.0
Albania,Male,12.6 [8.1-18.0],Balkans,12.6
Albania,Female,15.4 [10.8-20.6],Balkans,15.4
Algeria,Both sexes,18.5 [14.9-22.2],North Africa,18.5
Algeria,Male,11.3 [7.4-16.0],North Africa,11.3
Algeria,Female,25.5 [19.9-31.6],North Africa,25.5
Andorra,Both sexes,22.7 [18.2-27.6],Southern Europe,22.7
Andorra,Male,21.3 [14.7-28.5],Southern Europe,21.3
Andorra,Female,24.0 [17.4-31.0],Southern Europe,24.0
Angola,Both sexes,4.1 [2.3-6.4],Southern Africa,4.1
Angola,Male,1.6 [0.6-3.4],Southern Africa,1.6
Angola,Female,6.3 [3.2-10.4],Southern Africa,6.3
Antigua and Barbuda,Both sexes,13.3 [9.8-17.4],Caribbean,13.3
Antigua and Barbuda,Male,7.3 [4.0-11.7],Caribbean,7.3
Antigua and Barbuda,Female,19.1 [13.1-26.0],Caribbean,19.1
Argentina,Both sexes,21.6 [18.3-25.2],South America,21.6
Argentina,Male,20.0 [15.1-25.4],South America,20.0
Argentina,Female,22.9 [18.3-28.1],South America,22.9
Armenia,Both sexes,14.7 [11.4-18.5],Eastern Europe,14.7
Armenia,Male,11.5 [6.9-17.0],Eastern Europe,11.5
Armenia,Female,17.4 [12.6-22.8],Eastern Europe,17.4
Australia,Both sexes,21.3 [19.0-23.8],Oceania,21.3
Australia,Male,21.1 [17.7-24.6],Oceania,21.1
Australia,Female,21.5 [18.3-24.8],Oceania,21.5
Austria,Both sexes,14.7 [11.8-17.8],Eastern Europe,14.7
Austria,Male,15.2 [11.0-20.1],Eastern Europe,15.2
Austria,Female,14.1 [10.5-18.1],Eastern Europe,14.1
Azerbaijan,Both sexes,13.2 [9.9-16.9],Eastern Europe,13.2
Azerbaijan,Male,9.5 [5.6-14.5],Eastern Europe,9.5
Azerbaijan,Female,16.3 [11.5-21.9],Eastern Europe,16.3
Bahamas,Both sexes,24.8 [19.9-29.9],Caribbean,24.8
Bahamas,Male,16.9 [11.0-23.8],Caribbean,16.9
Bahamas,Female,31.8 [24.4-39.5],Caribbean,31.8
Bahrain,Both sexes,23.6 [19.9-27.6],Middle East,23.6
Bahrain,Male,18.4 [13.3-23.9],Middle East,18.4
Bahrain,Female,31.4 [25.7-37.2],Middle East,31.4
Bangladesh,Both sexes,1.5 [1.0-2.1],South Asia,1.5
Bangladesh,Male,0.8 [0.4-1.5],South Asia,0.8
Bangladesh,Female,2.2 [1.3-3.4],South Asia,2.2
Barbados,Both sexes,16.0 [12.9-19.5],Caribbean,16.0
Barbados,Male,8.8 [5.6-12.7],Caribbean,8.8
Barbados,Female,22.9 [17.8-28.8],Caribbean,22.9
Belarus,Both sexes,19.5 [15.3-23.9],Eastern Europe,19.5
Belarus,Male,15.2 [10.0-21.4],Eastern Europe,15.2
Belarus,Female,22.9 [16.7-29.6],Eastern Europe,22.9
Belgium,Both sexes,17.6 [15.3-20.0],Western Europe,17.6
Belgium,Male,17.1 [13.9-20.5],Western Europe,17.1
Belgium,Female,18.0 [14.9-21.3],Western Europe,18.0
Belize,Both sexes,17.3 [13.5-21.4],Central America,17.3
Belize,Male,10.5 [6.6-15.6],Central America,10.5
Belize,Female,24.0 [17.8-30.7],Central America,24.0
Benin,Both sexes,5.5 [4.0-7.2],West Africa,5.5
Benin,Male,2.3 [1.2-4.0],West Africa,2.3
Benin,Female,8.2 [5.7-11.2],West Africa,8.2
Bhutan,Both sexes,2.8 [1.7-4.1],South Asia,2.8
Bhutan,Male,1.8 [0.8-3.3],South Asia,1.8
Bhutan,Female,4.0 [2.2-6.4],South Asia,4.0
Bolivia (Plurinational State of),Both sexes,14.0 [10.6-17.9],South America,14.0
Bolivia (Plurinational State of),Male,8.9 [4.9-14.2],South America,8.9
Bolivia (Plurinational State of),Female,18.7 [13.3-24.5],South America,18.7
Bosnia and Herzegovina,Both sexes,13.1 [10.2-16.5],Balkans,13.1
Bosnia and Herzegovina,Male,11.5 [7.4-16.4],Balkans,11.5
Bosnia and Herzegovina,Female,14.5 [10.3-19.3],Balkans,14.5
