Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,4.9 [3.1-7.3],South Asia,4.9
Afghanistan,Male,2.8 [1.2-5.6],South Asia,2.8
Afghanistan,Female,7.0 [4.0-11.3],South Asia,7.0
Albania,Both sexes,20.5 [16.2-25.1],Balkans,20.5
Albania,Male,20.2 [13.9-27.3],Balkans,20.2
Albania,Female,20.8 [14.9-27.4],Balkans,20.8
Algeria,Both sexes,26.0 [21.4-30.9],North Africa,26.0
Algeria,Male,18.5 [12.7-25.0],North Africa,18.5
Algeria,Female,33.6 [26.7-40.7],North Africa,33.6
Andorra,Both sexes,25.2 [20.0-30.7],Southern Europe,25.2
Andorra,Male,25.2 [17.6-33.3],Southern Europe,25.2
Andorra,Female,25.1 [17.8-33.1],Southern Europe,25.1
Angola,Both sexes,7.5 [4.7-11.2],Southern Africa,7.5
Angola,Male,3.6 [1.4-6.9],Southern Africa,3.6
Angola,Female,11.1 [6.2-17.5],Southern Africa,11.1
Antigua and Barbuda,Both sexes,18.0 [13.2-23.1],Caribbean,18.0
Antigua and Barbuda,Male,10.8 [6.1-17.1],Caribbean,10.8
Antigua and Barbuda,Female,24.8 [17.1-33.5],Caribbean,24.8
Argentina,Both sexes,27.3 [22.9-32.0],South America,27.3
Argentina,Male,26.2 [20.0-33.1],South America,26.2
Argentina,Female,28.1 [22.1-34.4],South America,28.1
Armenia,Both sexes,19.2 [15.1-23.6],Eastern Europe,19.2
Armenia,Male,16.1 [10.6-22.7],Eastern Europe,16.1
Armenia,Female,22.1 [16.1-28.3],Eastern Europe,22.1
Australia,Both sexes,27.9 [24.6-31.4],Oceania,27.9
Australia,Male,28.3 [23.6-33.4],Oceania,28.3
Australia,Female,27.4 [22.8-32.2],Oceania,27.4
Austria,Both sexes,19.2 [15.4-23.3],Eastern Europe,19.2
Austria,Male,20.8 [15.2-27.3],Eastern Europe,20.8
Austria,Female,17.7 [12.7-23.1],Eastern Europe,17.7
Azerbaijan,Both sexes,18.8 [14.5-23.5],Eastern Europe,18.8
Azerbaijan,Male,14.7 [9.2-21.2],Eastern Europe,14.7
Azerbaijan,Female,22.4 [16.2-29.3],Eastern Europe,22.4
Bahamas,Both sexes,30.5 [24.8-36.4],Caribbean,30.5
Bahamas,Male,23.2 [15.7-31.4],Caribbean,23.2
Bahamas,Female,37.2 [28.6-45.9],Caribbean,37.2
Bahrain,Both sexes,28.8 [23.9-33.7],Middle East,28.8
Bahrain,Male,24.4 [17.8-31.0],Middle East,24.4
Bahrain,Female,36.0 [28.9-43.1],Middle East,36.0
Bangladesh,Both sexes,3.2 [2.2-4.4],South Asia,3.2
Bangladesh,Male,2.0 [1.0-3.4],South Asia,2.0
Bangladesh,Female,4.4 [2.8-6.6],South Asia,4.4
Barbados,Both sexes,22.0 [17.6-26.7],Caribbean,22.0
Barbados,Male,13.7 [8.9-19.7],Caribbean,13.7
Barbados,Female,30.0 [23.0-37.4],Caribbean,30.0
