Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.6 [0.3-1.3],South Asia,0.6
Afghanistan,Male,0.3 [0.1-0.8],South Asia,0.3
Afghanistan,Female,1.0 [0.3-2.3],South Asia,1.0
Albania,Both sexes,7.2 [4.4-10.9],Balkans,7.2
Albania,Male,5.2 [2.3-9.6],Balkans,5.2
Albania,Female,9.3 [4.8-15.5],Balkans,9.3
Algeria,Both sexes,8.0 [4.9-11.7],North Africa,8.0
Algeria,Male,3.4 [1.4-6.6],North Africa,3.4
Algeria,Female,12.2 [6.9-18.9],North Africa,12.2
Andorra,Both sexes,15.0 [10.6-20.1],Southern Europe,15.0
Andorra,Male,11.8 [6.4-18.4],Southern Europe,11.8
Andorra,Female,18.0 [11.4-25.7],Southern Europe,18.0
Angola,Both sexes,1.1 [0.4-2.2],Southern Africa,1.1
Angola,Male,0.3 [0.1-1.0],Southern Africa,0.3
Angola,Female,1.7 [0.5-3.8],Southern Africa,1.7
Antigua and Barbuda,Both sexes,6.4 [3.8-9.8],Caribbean,6.4
Antigua and Barbuda,Male,2.8 [1.1-5.7],Caribbean,2.8
Antigua and Barbuda,Female,9.9 [5.2-16.3],Caribbean,9.9
Argentina,Both sexes,12.5 [8.9-16.5],South America,12.5
Argentina,Male,10.3 [5.9-15.9],South America,10.3
Argentina,Female,14.4 [9.4-20.6],South America,14.4
Armenia,Both sexes,8.4 [5.3-12.4],Eastern Europe,8.4
Armenia,Male,5.4 [2.3-9.8],Eastern Europe,5.4
Armenia,Female,10.8 [6.0-17.2],Eastern Europe,10.8
Australia,Both sexes,11.6 [9.3-14.1],Oceania,11.6
Australia,Male,10.8 [7.7-14.4],Oceania,10.8
Australia,Female,12.3 [9.0-15.8],Oceania,12.3
Austria,Both sexes,7.9 [5.7-10.5],Eastern Europe,7.9
Austria,Male,7.2 [4.3-11.1],Eastern Europe,7.2
Austria,Female,8.4 [5.4-12.1],Eastern Europe,8.4
Azerbaijan,Both sexes,7.2 [4.3-11.1],Eastern Europe,7.2
Azerbaijan,Male,4.4 [1.8-8.5],Eastern Europe,4.4
Azerbaijan,Female,9.4 [4.8-15.6],Eastern Europe,9.4
Bahamas,Both sexes,13.6 [9.3-18.7],Caribbean,13.6
Bahamas,Male,6.9 [3.2-12.0],Caribbean,6.9
Bahamas,Female,19.7 [12.4-28.2],Caribbean,19.7
Bahrain,Both sexes,15.1 [11.0-19.7],Middle East,15.1
Bahrain,Male,9.8 [5.4-15.3],Middle East,9.8
Bahrain,Female,23.5 [16.0-31.7],Middle East,23.5
Bangladesh,Both sexes,0.3 [0.1-0.6],South Asia,0.3
Bangladesh,Male,0.1 [0.0-0.3],South Asia,0.1
Bangladesh,Female,0.5 [0.2-1.1],South Asia,0.5
Barbados,Both sexes,8.9 [5.9-12.8],Caribbean,8.9
Barbados,Male,3.7 [1.7-6.7],Caribbean,3.7
