Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,3.0 [1.9-4.6],South Asia,3.0
Afghanistan,Male,1.6 [0.7-3.3],South Asia,1.6
Afghanistan,Female,4.4 [2.4-7.3],South Asia,4.4
Albania,Both sexes,15.4 [12.0-19.2],Balkans,15.4
Albania,Male,14.3 [9.4-19.8],Balkans,14.3
Albania,Female,16.6 [11.9-22.0],Balkans,16.6
Algeria,Both sexes,20.2 [16.5-24.1],North Africa,20.2
Algeria,Male,12.9 [8.6-17.8],North Africa,12.9
Algeria,Female,27.5 [21.8-33.5],North Africa,27.5
Andorra,Both sexes,23.4 [18.8-28.3],Southern Europe,23.4
Andorra,Male,22.3 [15.7-29.4],Southern Europe,22.3
Andorra,Female,24.4 [17.8-31.3],Southern Europe,24.4
Angola,Both sexes,4.8 [2.9-7.3],Southern Africa,4.8
Angola,Male,2.0 [0.8-4.0],Southern Africa,2.0
Angola,Female,7.3 [3.9-11.8],Southern Africa,7.3
Antigua and Barbuda,Both sexes,14.4 [10.6-18.5],Caribbean,14.4
Antigua and Barbuda,Male,8.1 [4.6-12.6],Caribbean,8.1
Antigua and Barbuda,Female,20.4 [14.1-27.5],Caribbean,20.4
Argentina,Both sexes,23.0 [19.5-26.7],South America,23.0
Argentina,Male,21.5 [16.6-26.9],South America,21.5
Argentina,Female,24.2 [19.4-29.3],South America,24.2
Armenia,Both sexes,15.7 [12.3-19.3],Eastern Europe,15.7
Armenia,Male,12.5 [7.8-18.0],Eastern Europe,12.5
Armenia,Female,18.4 [13.5-23.9],Eastern Europe,18.4
Australia,Both sexes,22.9 [20.6-25.5],Oceania,22.9
Australia,Male,22.9 [19.4-26.5],Oceania,22.9
Australia,Female,23.0 [19.7-26.5],Oceania,23.0
Austria,Both sexes,15.8 [12.8-19.0],Eastern Europe,15.8
Austria,Male,16.5 [12.2-21.6],Eastern Europe,16.5
Austria,Female,15.0 [11.2-19.1],Eastern Europe,15.0
Azerbaijan,Both sexes,14.3 [10.9-18.2],Eastern Europe,14.3
Azerbaijan,Male,10.6 [6.3-15.7],Eastern Europe,10.6
Azerbaijan,Female,17.6 [12.7-23.4],Eastern Europe,17.6
Bahamas,Both sexes,26.2 [21.3-31.2],Caribbean,26.2
Bahamas,Male,18.4 [12.3-25.3],Caribbean,18.4
Bahamas,Female,33.2 [25.7-40.9],Caribbean,33.2
Bahrain,Both sexes,24.7 [20.8-28.7],Middle East,24.7
Bahrain,Male,19.7 [14.4-25.4],Middle East,19.7
Bahrain,Female,32.4 [26.8-38.3],Middle East,32.4
Bangladesh,Both sexes,1.8 [1.2-2.5],South Asia,1.8
Bangladesh,Male,1.0 [0.5-1.8],South Asia,1.0
Bangladesh,Female,2.7 [1.6-3.9],South Asia,2.7
Barbados,Both sexes,17.4 [14.2-21.1],Caribbean,17.4
Barbados,Male,9.9 [6.5-14.1],Caribbean,9.9
Barbados,Female,24.6 [19.3-30.6],Caribbean,24.6
Belarus,Both sexes,20.5 [16.3-25.0],Eastern Europe,20.5
Belarus,Male,16.6 [11.2-22.9],Eastern Europe,16.6
Belarus,Female,23.6 [17.4-30.4],Eastern Europe,23.6
Belgium,Both sexes,18.5 [16.2-21.0],Western Europe,18.5
Belgium,Male,18.3 [15.1-21.8],Western Europe,18.3
Belgium,Female,18.7 [15.5-22.1],Western Europe,18.7
Belize,Both sexes,18.7 [14.8-22.9],Central America,18.7
Belize,Male,11.6 [7.4-16.9],Central America,11.6
Belize,Female,25.6 [19.3-32.3],Central America,25.6
Benin,Both sexes,6.2 [4.6-8.1],West Africa,6.2
Benin,Male,2.7 [1.4-4.6],West Africa,2.7
Benin,Female,9.3 [6.6-12.4],West Africa,9.3
Bhutan,Both sexes,3.4 [2.2-4.9],South Asia,3.4
Bhutan,Male,2.3 [1.1-4.1],South Asia,2.3
Bhutan,Female,4.9 [2.8-7.6],South Asia,4.9
Bolivia (Plurinational State of),Both sexes,15.2 [11.7-19.2],South America,15.2
Bolivia (Plurinational State of),Male,9.9 [5.6-15.4],South America,9.9
Bolivia (Plurinational State of),Female,20.1 [14.6-26.0],South America,20.1
Bosnia and Herzegovina,Both sexes,14.0 [11.0-17.3],Balkans,14.0
Bosnia and Herzegovina,Male,12.6 [8.3-17.5],Balkans,12.6
Bosnia and Herzegovina,Female,15.2 [10.9-20.1],Balkans,15.2
Botswana,Both sexes,15.1 [11.5-18.8],Southern Africa,15.1
Botswana,Male,5.1 [2.7-8.4],Southern Africa,5.1
Botswana,Female,24.1 [17.6-30.9],Southern Africa,24.1
Brazil,Both sexes,16.8 [14.8-19.0],South America,16.8
Brazil,Male,13.2 [10.6-16.0],South America,13.2
Brazil,Female,20.1 [17.2-23.2],South America,20.1
Brunei Darussalam,Both sexes,9.0 [6.6-11.9],Southeast Asia,9.0
Brunei Darussalam,Male,7.1 [4.2-10.9],Southeast Asia,7.1
Brunei Darussalam,Female,10.9 [7.3-15.5],Southeast Asia,10.9
Bulgaria,Both sexes,20.4 [16.3-24.9],Balkans,20.4
Bulgaria,Male,19.5 [13.8-25.8],Balkans,19.5
Bulgaria,Female,21.0 [15.1-27.2],Balkans,21.0
Burkina Faso,Both sexes,2.9 [2.0-4.1],West Africa,2.9
Burkina Faso,Male,1.2 [0.6-2.1],West Africa,1.2
Burkina Faso,Female,4.3 [2.8-6.2],West Africa,4.3
Burundi,Both sexes,3.1 [1.9-4.5],East Africa,3.1
Burundi,Male,1.1 [0.5-2.2],East Africa,1.1
Burundi,Female,4.9 [2.9-7.7],East Africa,4.9
Cabo Verde,Both sexes,7.9 [5.6-10.5],West Africa,7.9
Cabo Verde,Male,3.9 [2.0-6.5],West Africa,3.9
Cabo Verde,Female,11.1 [7.3-15.5],West Africa,11.1
Cambodia,Both sexes,2.0 [1.3-3.0],Southeast Asia,2.0
Cambodia,Male,1.3 [0.6-2.4],Southeast Asia,1.3
Cambodia,Female,2.6 [1.5-4.1],Southeast Asia,2.6
Cameroon,Both sexes,7.3 [5.7-9.2],Central Africa,7.3
Cameroon,Male,3.5 [2.1-5.4],Central Africa,3.5
Cameroon,Female,11.0 [8.2-14.1],Central Africa,11.0
Canada,Both sexes,23.3 [20.7-25.9],North America,23.3
Canada,Male,22.9 [19.2-26.9],North America,22.9
Canada,Female,23.6 [20.0-27.2],North America,23.6
Central African Republic,Both sexes,4.8 [3.0-7.1],Central Africa,4.8
Central African Republic,Male,2.1 [0.9-4.1],Central Africa,2.1
Central African Republic,Female,7.2 [4.1-11.2],Central Africa,7.2
Chad,Both sexes,3.7 [2.6-5.2],North Africa,3.7
Chad,Male,1.8 [0.9-3.2],North Africa,1.8
Chad,Female,5.5 [3.5-8.2],North Africa,5.5
Chile,Both sexes,22.8 [19.6-26.3],South America,22.8
Chile,Male,19.4 [15.1-24.3],South America,19.4
Chile,Female,26.0 [21.4-31.0],South America,26.0
China,Both sexes,3.2 [2.7-3.8],East Asia,3.2
China,Male,2.6 [2.0-3.4],East Asia,2.6
China,Female,3.8 [3.0-4.8],East Asia,3.8
Colombia,Both sexes,17.4 [14.7-20.3],South America,17.4
Colombia,Male,12.6 [9.1-16.6],South America,12.6
Colombia,Female,21.6 [17.6-25.8],South America,21.6
Comoros,Both sexes,5.1 [3.5-7.0],Southern Africa,5.1
Comoros,Male,2.0 [1.0-3.8],Southern Africa,2.0
Comoros,Female,7.9 [5.2-11.6],Southern Africa,7.9
Congo,Both sexes,6.3 [4.5-8.5],Central Africa,6.3
Congo,Male,3.1 [1.6-5.3],Central Africa,3.1
Congo,Female,9.4 [6.3-13.1],Central Africa,9.4
Cook Islands,Both sexes,49.1 [44.0-54.4],Oceania,49.1
Cook Islands,Male,44.4 [36.9-52.0],Oceania,44.4
Cook Islands,Female,53.9 [46.8-60.8],Oceania,53.9
Costa Rica,Both sexes,18.0 [14.7-21.6],Central America,18.0
Costa Rica,Male,13.4 [9.2-18.2],Central America,13.4
Costa Rica,Female,22.5 [17.5-28.1],Central America,22.5
Croatia,Both sexes,19.4 [16.1-23.0],Balkans,19.4
Croatia,Male,18.0 [13.5-23.2],Balkans,18.0
Croatia,Female,20.5 [15.9-25.5],Balkans,20.5
Cuba,Both sexes,19.4 [16.1-22.9],Caribbean,19.4
Cuba,Male,13.4 [9.2-17.9],Caribbean,13.4
Cuba,Female,25.5 [20.2-31.1],Caribbean,25.5
Cyprus,Both sexes,18.2 [14.2-22.5],Balkans,18.2
Cyprus,Male,17.2 [11.6-23.4],Balkans,17.2
Cyprus,Female,19.1 [13.6-25.0],Balkans,19.1
Czechia,Both sexes,22.3 [18.8-26.1],Eastern Europe,22.3
Czechia,Male,21.4 [16.5-26.7],Eastern Europe,21.4
Czechia,Female,23.1 [18.2-28.4],Eastern Europe,23.1
Côte d'Ivoire,Both sexes,6.3 [4.7-8.2],West Africa,6.3
Côte d'Ivoire,Male,3.2 [1.7-5.2],West Africa,3.2
Côte d'Ivoire,Female,10.0 [7.1-13.5],West Africa,10.0
Democratic People's Republic of Korea,Both sexes,4.7 [2.9-7.1],East Asia,4.7
Democratic People's Republic of Korea,Male,3.7 [1.7-6.8],East Asia,3.7
Democratic People's Republic of Korea,Female,5.5 [2.8-9.1],East Asia,5.5
Democratic Republic of the Congo,Both sexes,4.0 [2.6-5.8],Central Africa,4.0
Democratic Republic of the Congo,Male,1.9 [0.8-3.6],Central Africa,1.9
Democratic Republic of the Congo,Female,5.9 [3.5-9.0],Central Africa,5.9
Denmark,Both sexes,15.7 [13.3-18.2],Northern Europe,15.7
Denmark,Male,16.9 [13.6-20.5],Northern Europe,16.9
Denmark,Female,14.3 [10.9-18.0],Northern Europe,14.3
Djibouti,Both sexes,10.5 [7.5-14.1],East Africa,10.5
Djibouti,Male,6.1 [3.1-10.2],East Africa,6.1
Djibouti,Female,14.7 [9.7-20.8],East Africa,14.7
Dominica,Both sexes,21.8 [17.6-26.4],Caribbean,21.8
Dominica,Male,13.9 [9.0-19.7],Caribbean,13.9
Dominica,Female,29.4 [22.7-36.4],Caribbean,29.4
Dominican Republic,Both sexes,19.3 [15.9-22.8],Caribbean,19.3
Dominican Republic,Male,12.7 [8.7-17.6],Caribbean,12.7
Dominican Republic,Female,25.8 [20.5-31.2],Caribbean,25.8
Ecuador,Both sexes,15.2 [11.7-19.1],South America,15.2
Ecuador,Male,10.5 [6.3-15.8],South America,10.5
Ecuador,Female,19.7 [14.2-25.7],South America,19.7
Egypt,Both sexes,24.9 [21.8-28.2],North Africa,24.9
Egypt,Male,15.9 [12.1-20.3],North Africa,15.9
Egypt,Female,33.7 [29.0-38.6],North Africa,33.7
El Salvador,Both sexes,18.4 [14.7-22.4],Central America,18.4
El Salvador,Male,13.1 [8.4-18.6],Central America,13.1
El Salvador,Female,22.6 [17.4-28.5],Central America,22.6
Equatorial Guinea,Both sexes,5.2 [3.2-7.6],Central Africa,5.2
Equatorial Guinea,Male,2.2 [0.9-4.5],Central Africa,2.2
Equatorial Guinea,Female,8.5 [4.9-13.0],Central Africa,8.5
Eritrea,Both sexes,2.9 [1.9-4.1],East Africa,2.9
Eritrea,Male,1.1 [0.5-2.0],East Africa,1.1
Eritrea,Female,4.4 [2.7-6.6],East Africa,4.4
Estonia,Both sexes,18.4 [16.0-21.0],Eastern Europe,18.4
Estonia,Male,16.0 [12.8-19.5],Eastern Europe,16.0
Estonia,Female,20.2 [16.6-23.9],Eastern Europe,20.2
Eswatini,Both sexes,12.4 [9.3-15.9],Southern Africa,12.4
Eswatini,Male,3.2 [1.7-5.6],Southern Africa,3.2
Eswatini,Female,20.1 [14.5-26.3],Southern Africa,20.1
Ethiopia,Both sexes,2.5 [1.6-3.7],East Africa,2.5
Ethiopia,Male,1.0 [0.4-1.9],East Africa,1.0
Ethiopia,Female,4.0 [2.3-6.1],East Africa,4.0
Fiji,Both sexes,23.7 [19.0-28.5],Oceania,23.7
Fiji,Male,18.2 [12.2-24.8],Oceania,18.2
Fiji,Female,29.3 [22.7-36.2],Oceania,29.3
Finland,Both sexes,18.2 [16.1-20.3],Northern Europe,18.2
Finland,Male,18.6 [15.6-21.9],Northern Europe,18.6
Finland,Female,17.6 [14.8-20.5],Northern Europe,17.6
France,Both sexes,17.6 [14.7-20.6],Western Europe,17.6
France,Male,16.9 [12.9-21.3],Western Europe,16.9
France,Female,18.1 [14.1-22.3],Western Europe,18.1
Gabon,Both sexes,11.1 [7.9-14.8],Central Africa,11.1
Gabon,Male,6.1 [3.0-10.7],Central Africa,6.1
Gabon,Female,15.7 [10.6-21.8],Central Africa,15.7
Gambia,Both sexes,6.3 [4.6-8.3],West Africa,6.3
Gambia,Male,3.0 [1.6-4.9],West Africa,3.0
Gambia,Female,9.6 [6.6-13.2],West Africa,9.6
Georgia,Both sexes,15.7 [12.1-19.5],Eastern Europe,15.7
Georgia,Male,13.0 [8.4-18.7],Eastern Europe,13.0
Georgia,Female,17.8 [12.8-23.5],Eastern Europe,17.8
Germany,Both sexes,18.0 [16.2-20.0],Northern Europe,18.0
Germany,Male,18.7 [15.8-21.7],Northern Europe,18.7
Germany,Female,17.2 [14.7-19.9],Northern Europe,17.2
Ghana,Both sexes,7.0 [5.6-8.7],West Africa,7.0
Ghana,Male,2.5 [1.5-3.9],West Africa,2.5
Ghana,Female,11.2 [8.7-14.3],West Africa,11.2
Greece,Both sexes,20.4 [16.9-24.2],Balkans,20.4
Greece,Male,18.4 [13.4-23.7],Balkans,18.4
Greece,Female,22.3 [17.2-28.0],Balkans,22.3
Grenada,Both sexes,15.7 [12.1-19.8],Caribbean,15.7
Grenada,Male,8.8 [5.2-13.3],Caribbean,8.8
Grenada,Female,22.2 [16.2-28.8],Caribbean,22.2
Guatemala,Both sexes,15.3 [12.3-18.7],Central America,15.3
Guatemala,Male,10.0 [6.3-14.7],Central America,10.0
Guatemala,Female,20.0 [15.4-24.9],Central America,20.0
Guinea,Both sexes,4.7 [3.3-6.3],West Africa,4.7
Guinea,Male,2.0 [1.0-3.6],West Africa,2.0
Guinea,Female,7.2 [4.8-10.2],West Africa,7.2
Guinea-Bissau,Both sexes,5.6 [3.9-7.8],West Africa,5.6
Guinea-Bissau,Male,2.6 [1.2-4.6],West Africa,2.6
Guinea-Bissau,Female,8.5 [5.5-12.3],West Africa,8.5
Guyana,Both sexes,14.3 [10.7-18.2],South America,14.3
Guyana,Male,7.9 [4.5-12.3],South America,7.9
Guyana,Female,20.2 [14.4-26.7],South America,20.2
Haiti,Both sexes,13.9 [10.8-17.5],Caribbean,13.9
Haiti,Male,9.4 [5.5-14.6],Caribbean,9.4
Haiti,Female,18.0 [13.2-23.3],Caribbean,18.0
Honduras,Both sexes,15.0 [11.8-18.6],Central America,15.0
Honduras,Male,10.1 [6.2-15.0],Central America,10.1
Honduras,Female,19.9 [15.0-25.2],Central America,19.9
Hungary,Both sexes,21.3 [17.8-25.2],Eastern Europe,21.3
Hungary,Male,21.5 [16.5-27.0],Eastern Europe,21.5
