Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.2 [0.6-2.2],South Asia,1.2
Afghanistan,Male,0.6 [0.2-1.3],South Asia,0.6
Afghanistan,Female,1.8 [0.8-3.5],South Asia,1.8
Albania,Both sexes,9.5 [6.6-13.0],Balkans,9.5
Albania,Male,7.6 [4.1-12.3],Balkans,7.6
Albania,Female,11.5 [7.1-16.8],Balkans,11.5
Algeria,Both sexes,11.9 [8.7-15.4],North Africa,11.9
Algeria,Male,6.0 [3.2-9.6],North Africa,6.0
Algeria,Female,17.5 [12.0-23.5],North Africa,17.5
Andorra,Both sexes,19.3 [14.8-24.1],Southern Europe,19.3
Andorra,Male,16.5 [10.4-23.5],Southern Europe,16.5
Andorra,Female,21.8 [15.3-29.0],Southern Europe,21.8
Angola,Both sexes,1.9 [0.9-3.4],Southern Africa,1.9
Angola,Male,0.6 [0.2-1.6],Southern Africa,0.6
Angola,Female,3.1 [1.3-5.8],Southern Africa,3.1
Antigua and Barbuda,Both sexes,9.1 [6.1-12.6],Caribbean,9.1
Antigua and Barbuda,Male,4.4 [2.1-7.8],Caribbean,4.4
Antigua and Barbuda,Female,13.6 [8.4-20.0],Caribbean,13.6
Argentina,Both sexes,16.2 [12.8-19.9],South America,16.2
Argentina,Male,14.2 [9.6-19.6],South America,14.2
Argentina,Female,17.9 [13.3-23.3],South America,17.9
Armenia,Both sexes,11.2 [7.9-14.9],Eastern Europe,11.2
Armenia,Male,8.0 [4.2-13.0],Eastern Europe,8.0
Armenia,Female,13.8 [9.0-19.4],Eastern Europe,13.8
Australia,Both sexes,14.9 [12.8-17.2],Oceania,14.9
Australia,Male,14.3 [11.2-17.6],Oceania,14.3
Australia,Female,15.5 [12.6-18.6],Oceania,15.5
Austria,Both sexes,10.4 [8.0-13.1],Eastern Europe,10.4
Austria,Male,10.1 [6.8-14.2],Eastern Europe,10.1
Austria,Female,10.5 [7.5-14.0],Eastern Europe,10.5
Azerbaijan,Both sexes,9.6 [6.5-13.1],Eastern Europe,9.6
Azerbaijan,Male,6.4 [3.2-10.7],Eastern Europe,6.4
Azerbaijan,Female,12.2 [7.6-18.0],Eastern Europe,12.2
Bahamas,Both sexes,18.5 [14.0-23.5],Caribbean,18.5
Bahamas,Male,10.8 [6.2-16.8],Caribbean,10.8
Bahamas,Female,25.3 [18.2-33.3],Caribbean,25.3
Bahrain,Both sexes,18.7 [15.0-22.8],Middle East,18.7
Bahrain,Male,13.2 [8.6-18.5],Middle East,13.2
Bahrain,Female,27.0 [20.7-33.6],Middle East,27.0
Bangladesh,Both sexes,0.6 [0.4-1.0],South Asia,0.6
Bangladesh,Male,0.3 [0.1-0.7],South Asia,0.3
Bangladesh,Female,1.0 [0.5-1.8],South Asia,1.0
Barbados,Both sexes,11.4 [8.5-14.7],Caribbean,11.4
Barbados,Male,5.3 [3.0-8.4],Caribbean,5.3
Barbados,Female,16.5 [11.7-22.3],Caribbean,16.5
Belarus,Both sexes,15.2 [11.1-19.6],Eastern Europe,15.2
Belarus,Male,9.8 [5.6-15.1],Eastern Europe,9.8
Belarus,Female,19.5 [13.1-26.5],Eastern Europe,19.5
Belgium,Both sexes,13.8 [11.6-16.0],Western Europe,13.8
Belgium,Male,12.3 [9.4-15.5],Western Europe,12.3
Belgium,Female,15.0 [12.0-18.3],Western Europe,15.0
Belize,Both sexes,12.1 [8.8-15.8],Central America,12.1
Belize,Male,6.4 [3.5-10.5],Central America,6.4
Belize,Female,17.9 [12.1-24.3],Central America,17.9
Benin,Both sexes,2.9 [1.8-4.3],West Africa,2.9
Benin,Male,1.0 [0.4-2.1],West Africa,1.0
Benin,Female,4.4 [2.6-6.7],West Africa,4.4
Bhutan,Both sexes,1.1 [0.6-1.9],South Asia,1.1
Bhutan,Male,0.6 [0.2-1.3],South Asia,0.6
Bhutan,Female,1.7 [0.7-3.2],South Asia,1.7
Bolivia (Plurinational State of),Both sexes,8.8 [5.9-12.3],South America,8.8
Bolivia (Plurinational State of),Male,4.8 [2.1-8.9],South America,4.8
Bolivia (Plurinational State of),Female,12.5 [7.7-18.3],South America,12.5
Bosnia and Herzegovina,Both sexes,9.7 [7.0-13.0],Balkans,9.7
Bosnia and Herzegovina,Male,7.4 [4.1-11.7],Balkans,7.4
Bosnia and Herzegovina,Female,11.6 [7.4-16.7],Balkans,11.6
