Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.5 [0.2-1.1],South Asia,0.5
Afghanistan,Male,0.2 [0.0-0.7],South Asia,0.2
Afghanistan,Female,0.8 [0.2-2.0],South Asia,0.8
Albania,Both sexes,6.7 [3.8-10.6],Balkans,6.7
Albania,Male,4.6 [1.8-9.2],Balkans,4.6
Albania,Female,8.8 [4.1-15.4],Balkans,8.8
Algeria,Both sexes,7.2 [4.1-11.1],North Africa,7.2
Algeria,Male,2.9 [1.1-6.1],North Africa,2.9
Algeria,Female,11.1 [5.8-18.2],North Africa,11.1
Andorra,Both sexes,13.5 [9.1-18.6],Southern Europe,13.5
Andorra,Male,10.2 [5.2-16.9],Southern Europe,10.2
Andorra,Female,16.4 [9.8-24.4],Southern Europe,16.4
Angola,Both sexes,0.9 [0.3-2.0],Southern Africa,0.9
Angola,Male,0.3 [0.0-0.9],Southern Africa,0.3
Angola,Female,1.4 [0.4-3.5],Southern Africa,1.4
Antigua and Barbuda,Both sexes,5.8 [3.2-9.3],Caribbean,5.8
Antigua and Barbuda,Male,2.4 [0.8-5.3],Caribbean,2.4
Antigua and Barbuda,Female,9.1 [4.4-15.7],Caribbean,9.1
Argentina,Both sexes,11.5 [7.8-15.8],South America,11.5
Argentina,Male,9.3 [4.9-15.3],South America,9.3
Argentina,Female,13.5 [8.1-20.2],South America,13.5
Armenia,Both sexes,7.6 [4.5-11.7],Eastern Europe,7.6
Armenia,Male,4.7 [1.8-9.1],Eastern Europe,4.7
Armenia,Female,9.8 [5.0-16.5],Eastern Europe,9.8
Australia,Both sexes,10.8 [8.2-13.5],Oceania,10.8
Australia,Male,10.0 [6.6-14.0],Oceania,10.0
Australia,Female,11.5 [8.0-15.4],Oceania,11.5
Austria,Both sexes,7.3 [5.1-10.0],Eastern Europe,7.3
Austria,Male,6.5 [3.6-10.4],Eastern Europe,6.5
Austria,Female,7.9 [4.8-11.8],Eastern Europe,7.9
Azerbaijan,Both sexes,6.6 [3.7-10.5],Eastern Europe,6.6
Azerbaijan,Male,3.9 [1.4-8.0],Eastern Europe,3.9
Azerbaijan,Female,8.7 [4.1-15.2],Eastern Europe,8.7
Bahamas,Both sexes,12.4 [8.1-17.8],Caribbean,12.4
Bahamas,Male,6.0 [2.6-11.0],Caribbean,6.0
Bahamas,Female,18.2 [10.7-27.0],Caribbean,18.2
Bahrain,Both sexes,14.4 [10.2-19.4],Middle East,14.4
Bahrain,Male,8.9 [4.5-14.8],Middle East,8.9
Bahrain,Female,22.5 [14.5-31.7],Middle East,22.5
Bangladesh,Both sexes,0.2 [0.1-0.5],South Asia,0.2
Bangladesh,Male,0.1 [0.0-0.3],South Asia,0.1
Bangladesh,Female,0.4 [0.1-1.0],South Asia,0.4
Barbados,Both sexes,8.0 [4.9-12.0],Caribbean,8.0
Barbados,Male,3.2 [1.3-6.2],Caribbean,3.2
Barbados,Female,11.9 [6.7-18.7],Caribbean,11.9
Belarus,Both sexes,10.2 [6.0-15.6],Eastern Europe,10.2
Belarus,Male,4.9 [2.0-9.7],Eastern Europe,4.9
Belarus,Female,14.0 [7.1-23.2],Eastern Europe,14.0
Belgium,Both sexes,10.7 [8.0-13.8],Western Europe,10.7
Belgium,Male,8.7 [5.5-12.6],Western Europe,8.7
Belgium,Female,12.5 [8.5-17.2],Western Europe,12.5
Belize,Both sexes,9.0 [5.6-13.2],Central America,9.0
Belize,Male,4.1 [1.7-8.0],Central America,4.1
Belize,Female,13.7 [7.6-21.3],Central America,13.7
Benin,Both sexes,1.2 [0.5-2.3],West Africa,1.2
Benin,Male,0.4 [0.1-1.0],West Africa,0.4
Benin,Female,1.9 [0.7-3.8],West Africa,1.9
Bhutan,Both sexes,0.4 [0.2-1.0],South Asia,0.4
Bhutan,Male,0.2 [0.0-0.6],South Asia,0.2
Bhutan,Female,0.7 [0.2-1.7],South Asia,0.7
Bolivia (Plurinational State of),Both sexes,5.0 [2.6-8.4],South America,5.0
Bolivia (Plurinational State of),Male,2.2 [0.7-5.2],South America,2.2
Bolivia (Plurinational State of),Female,7.5 [3.3-13.5],South America,7.5
Bosnia and Herzegovina,Both sexes,6.2 [3.5-10.0],Balkans,6.2
Bosnia and Herzegovina,Male,4.0 [1.5-7.9],Balkans,4.0
Bosnia and Herzegovina,Female,8.0 [3.7-14.5],Balkans,8.0
Botswana,Both sexes,2.9 [1.2-5.8],Southern Africa,2.9
Botswana,Male,0.4 [0.1-1.1],Southern Africa,0.4
Botswana,Female,4.9 [1.9-10.0],Southern Africa,4.9
Brazil,Both sexes,5.5 [3.5-8.1],South America,5.5
Brazil,Male,3.2 [1.5-5.8],South America,3.2
Brazil,Female,7.6 [4.3-12.2],South America,7.6
Brunei Darussalam,Both sexes,2.7 [1.3-4.6],Southeast Asia,2.7
Brunei Darussalam,Male,1.5 [0.4-3.3],Southeast Asia,1.5
Brunei Darussalam,Female,4.0 [1.6-7.6],Southeast Asia,4.0
Bulgaria,Both sexes,10.5 [6.6-15.3],Balkans,10.5
Bulgaria,Male,7.6 [3.5-13.7],Balkans,7.6
Bulgaria,Female,13.3 [7.3-21.3],Balkans,13.3
Burkina Faso,Both sexes,0.5 [0.2-1.0],West Africa,0.5
Burkina Faso,Male,0.2 [0.0-0.5],West Africa,0.2
Burkina Faso,Female,0.7 [0.2-1.8],West Africa,0.7
Burundi,Both sexes,0.6 [0.2-1.4],East Africa,0.6
Burundi,Male,0.2 [0.0-0.7],East Africa,0.2
Burundi,Female,1.0 [0.3-2.4],East Africa,1.0
Cabo Verde,Both sexes,1.2 [0.5-2.4],West Africa,1.2
Cabo Verde,Male,0.4 [0.1-1.1],West Africa,0.4
Cabo Verde,Female,1.9 [0.6-4.0],West Africa,1.9
Cambodia,Both sexes,0.3 [0.1-0.6],Southeast Asia,0.3
Cambodia,Male,0.1 [0.0-0.4],Southeast Asia,0.1
Cambodia,Female,0.4 [0.1-1.0],Southeast Asia,0.4
Cameroon,Both sexes,1.4 [0.7-2.7],Central Africa,1.4
Cameroon,Male,0.5 [0.1-1.2],Central Africa,0.5
Cameroon,Female,2.3 [1.0-4.6],Central Africa,2.3
Canada,Both sexes,10.1 [7.6-13.1],North America,10.1
Canada,Male,9.1 [5.7-13.3],North America,9.1
Canada,Female,11.0 [7.3-15.4],North America,11.0
Central African Republic,Both sexes,1.3 [0.5-2.6],Central Africa,1.3
Central African Republic,Male,0.4 [0.1-1.2],Central Africa,0.4
Central African Republic,Female,2.0 [0.7-4.6],Central Africa,2.0
Chad,Both sexes,0.8 [0.3-1.6],North Africa,0.8
Chad,Male,0.3 [0.1-0.9],North Africa,0.3
Chad,Female,1.2 [0.4-2.7],North Africa,1.2
Chile,Both sexes,11.5 [7.9-15.9],South America,11.5
Chile,Male,8.1 [4.1-13.7],South America,8.1
Chile,Female,14.6 [8.8-21.5],South America,14.6
China,Both sexes,0.5 [0.3-0.9],East Asia,0.5
China,Male,0.2 [0.1-0.5],East Asia,0.2
China,Female,0.8 [0.4-1.5],East Asia,0.8
Colombia,Both sexes,6.9 [4.2-10.3],South America,6.9
Colombia,Male,3.5 [1.4-6.7],South America,3.5
Colombia,Female,9.9 [5.4-16.0],South America,9.9
Comoros,Both sexes,1.3 [0.5-2.6],Southern Africa,1.3
Comoros,Male,0.4 [0.1-1.2],Southern Africa,0.4
Comoros,Female,2.1 [0.7-4.5],Southern Africa,2.1
Congo,Both sexes,1.6 [0.8-3.0],Central Africa,1.6
Congo,Male,0.5 [0.1-1.3],Central Africa,0.5
Congo,Female,2.6 [1.1-5.1],Central Africa,2.6
Cook Islands,Both sexes,28.6 [22.0-35.9],Oceania,28.6
Cook Islands,Male,22.2 [13.4-32.2],Oceania,22.2
Cook Islands,Female,35.1 [25.3-45.7],Oceania,35.1
Costa Rica,Both sexes,5.4 [3.1-8.5],Central America,5.4
Costa Rica,Male,3.0 [1.1-6.2],Central America,3.0
Costa Rica,Female,8.0 [3.9-13.8],Central America,8.0
Croatia,Both sexes,9.5 [6.0-14.1],Balkans,9.5
Croatia,Male,6.5 [3.1-11.9],Balkans,6.5
Croatia,Female,11.9 [6.5-19.2],Balkans,11.9
Cuba,Both sexes,8.1 [5.1-11.7],Caribbean,8.1
Cuba,Male,3.7 [1.6-6.8],Caribbean,3.7
Cuba,Female,12.5 [7.2-19.1],Caribbean,12.5
Cyprus,Both sexes,5.9 [3.4-9.2],Balkans,5.9
Cyprus,Male,4.4 [1.8-8.5],Balkans,4.4
Cyprus,Female,7.3 [3.5-12.4],Balkans,7.3
Czechia,Both sexes,14.2 [9.9-19.1],Eastern Europe,14.2
Czechia,Male,10.4 [5.9-16.6],Eastern Europe,10.4
Czechia,Female,17.5 [11.1-25.1],Eastern Europe,17.5
Côte d'Ivoire,Both sexes,1.5 [0.7-2.8],West Africa,1.5
Côte d'Ivoire,Male,0.5 [0.1-1.4],West Africa,0.5
Côte d'Ivoire,Female,2.6 [1.1-5.2],West Africa,2.6
Democratic People's Republic of Korea,Both sexes,1.8 [0.8-3.6],East Asia,1.8
Democratic People's Republic of Korea,Male,0.9 [0.2-2.2],East Asia,0.9
Democratic People's Republic of Korea,Female,2.5 [0.9-5.4],East Asia,2.5
Democratic Republic of the Congo,Both sexes,0.9 [0.3-2.0],Central Africa,0.9
Democratic Republic of the Congo,Male,0.3 [0.1-0.9],Central Africa,0.3
Democratic Republic of the Congo,Female,1.4 [0.5-3.2],Central Africa,1.4
Denmark,Both sexes,7.4 [5.4-9.9],Northern Europe,7.4
Denmark,Male,6.5 [4.1-9.6],Northern Europe,6.5
Denmark,Female,8.1 [5.0-12.2],Northern Europe,8.1
Djibouti,Both sexes,4.3 [2.2-7.2],East Africa,4.3
Djibouti,Male,1.6 [0.5-4.1],East Africa,1.6
Djibouti,Female,6.7 [2.9-12.0],East Africa,6.7
Dominica,Both sexes,6.9 [4.0-10.7],Caribbean,6.9
Dominica,Male,2.8 [1.0-5.9],Caribbean,2.8
Dominica,Female,10.8 [5.7-17.6],Caribbean,10.8
Dominican Republic,Both sexes,6.1 [3.7-9.1],Caribbean,6.1
Dominican Republic,Male,2.7 [1.1-5.4],Caribbean,2.7
