Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.3 [0.7-2.3],South Asia,1.3
Afghanistan,Male,0.6 [0.2-1.4],South Asia,0.6
Afghanistan,Female,1.9 [0.9-3.7],South Asia,1.9
Albania,Both sexes,9.8 [6.9-13.3],Balkans,9.8
Albania,Male,7.9 [4.3-12.6],Balkans,7.9
Albania,Female,11.7 [7.4-16.9],Balkans,11.7
Algeria,Both sexes,12.4 [9.1-15.9],North Africa,12.4
Algeria,Male,6.3 [3.5-10.0],North Africa,6.3
Algeria,Female,18.1 [12.5-24.0],North Africa,18.1
Andorra,Both sexes,19.6 [15.1-24.4],Southern Europe,19.6
Andorra,Male,16.9 [10.8-23.9],Southern Europe,16.9
Andorra,Female,22.1 [15.5-29.2],Southern Europe,22.1
Angola,Both sexes,2.0 [1.0-3.6],Southern Africa,2.0
Angola,Male,0.7 [0.2-1.7],Southern Africa,0.7
Angola,Female,3.2 [1.4-6.0],Southern Africa,3.2
Antigua and Barbuda,Both sexes,9.4 [6.4-13.0],Caribbean,9.4
Antigua and Barbuda,Male,4.6 [2.2-8.0],Caribbean,4.6
Antigua and Barbuda,Female,14.0 [8.7-20.4],Caribbean,14.0
Argentina,Both sexes,16.6 [13.2-20.2],South America,16.6
Argentina,Male,14.6 [10.0-20.0],South America,14.6
Argentina,Female,18.3 [13.7-23.7],South America,18.3
Armenia,Both sexes,11.4 [8.2-15.2],Eastern Europe,11.4
Armenia,Male,8.2 [4.4-13.3],Eastern Europe,8.2
Armenia,Female,14.1 [9.3-19.7],Eastern Europe,14.1
Australia,Both sexes,15.3 [13.2-17.6],Oceania,15.3
Australia,Male,14.7 [11.6-18.0],Oceania,14.7
Australia,Female,15.8 [13.0-19.0],Oceania,15.8
Austria,Both sexes,10.7 [8.3-13.4],Eastern Europe,10.7
Austria,Male,10.4 [7.0-14.7],Eastern Europe,10.4
Austria,Female,10.8 [7.7-14.3],Eastern Europe,10.8
Azerbaijan,Both sexes,9.8 [6.8-13.3],Eastern Europe,9.8
Azerbaijan,Male,6.6 [3.4-11.0],Eastern Europe,6.6
