Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.6 [0.9-2.8],South Asia,1.6
Afghanistan,Male,0.8 [0.3-1.8],South Asia,0.8
Afghanistan,Female,2.4 [1.2-4.5],South Asia,2.4
Albania,Both sexes,11.0 [7.9-14.5],Balkans,11.0
Albania,Male,9.2 [5.3-14.1],Balkans,9.2
Albania,Female,12.8 [8.4-17.9],Balkans,12.8
Algeria,Both sexes,14.3 [10.9-17.8],North Africa,14.3
Algeria,Male,7.8 [4.6-11.8],North Africa,7.8
Algeria,Female,20.5 [14.9-26.4],North Africa,20.5
Andorra,Both sexes,20.7 [16.2-25.6],Southern Europe,20.7
Andorra,Male,18.4 [12.1-25.5],Southern Europe,18.4
Andorra,Female,22.8 [16.4-29.8],Southern Europe,22.8
Angola,Both sexes,2.6 [1.3-4.3],Southern Africa,2.6
Angola,Male,0.9 [0.3-2.1],Southern Africa,0.9
Angola,Female,4.1 [1.9-7.2],Southern Africa,4.1
Antigua and Barbuda,Both sexes,10.7 [7.5-14.4],Caribbean,10.7
Antigua and Barbuda,Male,5.5 [2.8-9.2],Caribbean,5.5
Antigua and Barbuda,Female,15.7 [10.2-22.3],Caribbean,15.7
Argentina,Both sexes,18.2 [14.8-22.0],South America,18.2
Argentina,Male,16.4 [11.6-21.8],South America,16.4
Argentina,Female,19.8 [15.3-25.0],South America,19.8
Armenia,Both sexes,12.5 [9.2-16.3],Eastern Europe,12.5
Armenia,Male,9.3 [5.2-14.6],Eastern Europe,9.3
Armenia,Female,15.2 [10.3-20.7],Eastern Europe,15.2
Australia,Both sexes,17.1 [14.9-19.5],Oceania,17.1
Australia,Male,16.6 [13.4-20.0],Oceania,16.6
Australia,Female,17.5 [14.5-20.7],Oceania,17.5
Austria,Both sexes,11.9 [9.4-14.8],Eastern Europe,11.9
Austria,Male,11.9 [8.2-16.4],Eastern Europe,11.9
Austria,Female,11.8 [8.6-15.5],Eastern Europe,11.8
Azerbaijan,Both sexes,10.9 [7.7-14.5],Eastern Europe,10.9
Azerbaijan,Male,7.5 [4.0-12.1],Eastern Europe,7.5
Azerbaijan,Female,13.7 [9.0-19.2],Eastern Europe,13.7
Bahamas,Both sexes,21.0 [16.3-25.9],Caribbean,21.0
Bahamas,Male,13.1 [7.9-19.6],Caribbean,13.1
Bahamas,Female,28.0 [20.7-35.8],Caribbean,28.0
Bahrain,Both sexes,20.6 [16.9-24.5],Middle East,20.6
Bahrain,Male,15.1 [10.3-20.5],Middle East,15.1
Bahrain,Female,28.7 [22.8-34.9],Middle East,28.7
Bangladesh,Both sexes,0.9 [0.5-1.4],South Asia,0.9
Bangladesh,Male,0.5 [0.2-0.9],South Asia,0.5
Bangladesh,Female,1.4 [0.7-2.3],South Asia,1.4
