Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,2.7 [1.6-4.2],South Asia,2.7
Afghanistan,Male,1.4 [0.6-3.0],South Asia,1.4
Afghanistan,Female,4.0 [2.1-6.7],South Asia,4.0
Albania,Both sexes,14.5 [11.1-18.2],Balkans,14.5
Albania,Male,13.2 [8.5-18.5],Balkans,13.2
Albania,Female,15.8 [11.1-21.0],Balkans,15.8
Algeria,Both sexes,19.1 [15.5-22.8],North Africa,19.1
Algeria,Male,11.8 [7.8-16.6],North Africa,11.8
Algeria,Female,26.2 [20.5-32.2],North Africa,26.2
Andorra,Both sexes,22.9 [18.4-27.8],Southern Europe,22.9
Andorra,Male,21.6 [15.0-28.8],Southern Europe,21.6
Andorra,Female,24.1 [17.6-31.1],Southern Europe,24.1
Angola,Both sexes,4.3 [2.5-6.7],Southern Africa,4.3
Angola,Male,1.7 [0.6-3.5],Southern Africa,1.7
Angola,Female,6.6 [3.4-10.9],Southern Africa,6.6
Antigua and Barbuda,Both sexes,13.7 [10.1-17.7],Caribbean,13.7
Antigua and Barbuda,Male,7.6 [4.2-12.0],Caribbean,7.6
Antigua and Barbuda,Female,19.5 [13.4-26.4],Caribbean,19.5
Argentina,Both sexes,22.1 [18.7-25.7],South America,22.1
Argentina,Male,20.5 [15.6-25.9],South America,20.5
Argentina,Female,23.3 [18.7-28.5],South America,23.3
Armenia,Both sexes,15.0 [11.7-18.7],Eastern Europe,15.0
Armenia,Male,11.8 [7.2-17.3],Eastern Europe,11.8
Armenia,Female,17.7 [12.9-23.1],Eastern Europe,17.7
Australia,Both sexes,21.8 [19.6-24.3],Oceania,21.8
Australia,Male,21.7 [18.2-25.2],Oceania,21.7
Australia,Female,22.0 [18.8-25.4],Oceania,22.0
Austria,Both sexes,15.0 [12.2-18.2],Eastern Europe,15.0
Austria,Male,15.6 [11.4-20.6],Eastern Europe,15.6
Austria,Female,14.4 [10.7-18.5],Eastern Europe,14.4
Azerbaijan,Both sexes,13.5 [10.2-17.3],Eastern Europe,13.5
Azerbaijan,Male,9.9 [5.8-14.8],Eastern Europe,9.9
Azerbaijan,Female,16.7 [11.9-22.3],Eastern Europe,16.7
Bahamas,Both sexes,25.3 [20.4-30.3],Caribbean,25.3
Bahamas,Male,17.4 [11.4-24.2],Caribbean,17.4
Bahamas,Female,32.3 [24.9-40.1],Caribbean,32.3
Bahrain,Both sexes,24.0 [20.2-28.0],Middle East,24.0
Bahrain,Male,18.8 [13.6-24.4],Middle East,18.8
Bahrain,Female,31.8 [26.1-37.6],Middle East,31.8
Bangladesh,Both sexes,1.6 [1.1-2.2],South Asia,1.6
Bangladesh,Male,0.9 [0.4-1.6],South Asia,0.9
Bangladesh,Female,2.4 [1.4-3.6],South Asia,2.4
Barbados,Both sexes,16.5 [13.3-20.1],Caribbean,16.5
Barbados,Male,9.1 [5.9-13.1],Caribbean,9.1
Barbados,Female,23.5 [18.3-29.4],Caribbean,23.5
Belarus,Both sexes,19.8 [15.6-24.3],Eastern Europe,19.8
Belarus,Male,15.7 [10.4-21.8],Eastern Europe,15.7
Belarus,Female,23.1 [16.9-29.8],Eastern Europe,23.1
Belgium,Both sexes,17.9 [15.6-20.3],Western Europe,17.9
Belgium,Male,17.5 [14.3-21.0],Western Europe,17.5
Belgium,Female,18.2 [15.1-21.6],Western Europe,18.2
Belize,Both sexes,17.8 [13.9-21.9],Central America,17.8
Belize,Male,10.8 [6.8-16.0],Central America,10.8
Belize,Female,24.6 [18.3-31.3],Central America,24.6
Benin,Both sexes,5.7 [4.2-7.5],West Africa,5.7
Benin,Male,2.4 [1.3-4.2],West Africa,2.4
Benin,Female,8.6 [6.0-11.6],West Africa,8.6
Bhutan,Both sexes,3.0 [1.9-4.4],South Asia,3.0
Bhutan,Male,1.9 [0.9-3.5],South Asia,1.9
Bhutan,Female,4.3 [2.4-6.8],South Asia,4.3
Bolivia (Plurinational State of),Both sexes,14.4 [11.0-18.3],South America,14.4
Bolivia (Plurinational State of),Male,9.2 [5.2-14.6],South America,9.2
Bolivia (Plurinational State of),Female,19.2 [13.8-25.0],South America,19.2
Bosnia and Herzegovina,Both sexes,13.4 [10.5-16.8],Balkans,13.4
Bosnia and Herzegovina,Male,11.8 [7.7-16.7],Balkans,11.8
Bosnia and Herzegovina,Female,14.7 [10.5-19.5],Balkans,14.7
Botswana,Both sexes,14.4 [10.8-18.1],Southern Africa,14.4
Botswana,Male,4.6 [2.4-7.7],Southern Africa,4.6
Botswana,Female,23.0 [16.7-29.8],Southern Africa,23.0
Brazil,Both sexes,15.9 [13.9-18.0],South America,15.9
Brazil,Male,12.3 [9.8-15.1],South America,12.3
Brazil,Female,19.2 [16.3-22.2],South America,19.2
Brunei Darussalam,Both sexes,8.2 [5.9-11.0],Southeast Asia,8.2
Brunei Darussalam,Male,6.3 [3.6-10.0],Southeast Asia,6.3
Brunei Darussalam,Female,10.2 [6.7-14.7],Southeast Asia,10.2
Bulgaria,Both sexes,19.6 [15.5-24.0],Balkans,19.6
Bulgaria,Male,18.5 [12.9-24.7],Balkans,18.5
Bulgaria,Female,20.5 [14.7-26.6],Balkans,20.5
Burkina Faso,Both sexes,2.6 [1.7-3.6],West Africa,2.6
Burkina Faso,Male,1.0 [0.5-1.9],West Africa,1.0
Burkina Faso,Female,3.8 [2.4-5.6],West Africa,3.8
Burundi,Both sexes,2.8 [1.7-4.2],East Africa,2.8
Burundi,Male,1.0 [0.4-2.0],East Africa,1.0
Burundi,Female,4.4 [2.5-7.0],East Africa,4.4
Cabo Verde,Both sexes,7.3 [5.1-9.7],West Africa,7.3
Cabo Verde,Male,3.4 [1.7-5.9],West Africa,3.4
Cabo Verde,Female,10.2 [6.6-14.5],West Africa,10.2
Cambodia,Both sexes,1.8 [1.1-2.7],Southeast Asia,1.8
Cambodia,Male,1.1 [0.5-2.1],Southeast Asia,1.1
Cambodia,Female,2.4 [1.3-3.7],Southeast Asia,2.4
Cameroon,Both sexes,6.7 [5.2-8.5],Central Africa,6.7
Cameroon,Male,3.1 [1.8-4.9],Central Africa,3.1
Cameroon,Female,10.1 [7.5-13.1],Central Africa,10.1
Canada,Both sexes,22.2 [19.6-24.8],North America,22.2
Canada,Male,21.7 [18.0-25.7],North America,21.7
Canada,Female,22.6 [19.0-26.2],North America,22.6
Central African Republic,Both sexes,4.4 [2.7-6.6],Central Africa,4.4
Central African Republic,Male,1.9 [0.8-3.8],Central Africa,1.9
Central African Republic,Female,6.6 [3.7-10.5],Central Africa,6.6
Chad,Both sexes,3.4 [2.3-4.8],North Africa,3.4
Chad,Male,1.6 [0.8-2.8],North Africa,1.6
Chad,Female,5.1 [3.2-7.6],North Africa,5.1
Chile,Both sexes,21.9 [18.7-25.3],South America,21.9
Chile,Male,18.5 [14.3-23.3],South America,18.5
Chile,Female,25.1 [20.5-30.0],South America,25.1
China,Both sexes,2.8 [2.4-3.4],East Asia,2.8
China,Male,2.3 [1.7-2.9],East Asia,2.3
China,Female,3.5 [2.7-4.3],East Asia,3.5
Colombia,Both sexes,16.6 [13.8-19.5],South America,16.6
Colombia,Male,11.8 [8.4-15.8],South America,11.8
Colombia,Female,20.8 [16.8-25.0],South America,20.8
Comoros,Both sexes,4.7 [3.2-6.6],Southern Africa,4.7
Comoros,Male,1.9 [0.9-3.5],Southern Africa,1.9
Comoros,Female,7.3 [4.7-10.9],Southern Africa,7.3
Congo,Both sexes,5.8 [4.1-7.9],Central Africa,5.8
Congo,Male,2.8 [1.4-4.8],Central Africa,2.8
Congo,Female,8.7 [5.9-12.3],Central Africa,8.7
Cook Islands,Both sexes,47.5 [42.2-52.9],Oceania,47.5
Cook Islands,Male,42.5 [34.8-50.2],Oceania,42.5
Cook Islands,Female,52.6 [45.3-59.7],Oceania,52.6
Costa Rica,Both sexes,16.7 [13.4-20.2],Central America,16.7
Costa Rica,Male,12.2 [8.1-16.8],Central America,12.2
Costa Rica,Female,21.1 [16.2-26.6],Central America,21.1
Croatia,Both sexes,18.6 [15.4-22.2],Balkans,18.6
Croatia,Male,17.1 [12.6-22.2],Balkans,17.1
Croatia,Female,19.9 [15.3-24.9],Balkans,19.9
Cuba,Both sexes,18.6 [15.2-22.1],Caribbean,18.6
Cuba,Male,12.5 [8.5-16.9],Caribbean,12.5
Cuba,Female,24.6 [19.4-30.3],Caribbean,24.6
Cyprus,Both sexes,17.5 [13.6-21.7],Balkans,17.5
Cyprus,Male,16.3 [10.9-22.6],Balkans,16.3
Cyprus,Female,18.5 [13.1-24.5],Balkans,18.5
Czechia,Both sexes,21.7 [18.3-25.4],Eastern Europe,21.7
Czechia,Male,20.6 [15.8-25.8],Eastern Europe,20.6
Czechia,Female,22.7 [18.0-27.9],Eastern Europe,22.7
Côte d'Ivoire,Both sexes,5.7 [4.3-7.5],West Africa,5.7
Côte d'Ivoire,Male,2.8 [1.5-4.7],West Africa,2.8
Côte d'Ivoire,Female,9.2 [6.4-12.5],West Africa,9.2
Democratic People's Republic of Korea,Both sexes,4.4 [2.7-6.7],East Asia,4.4
Democratic People's Republic of Korea,Male,3.4 [1.6-6.2],East Asia,3.4
Democratic People's Republic of Korea,Female,5.2 [2.6-8.7],East Asia,5.2
Democratic Republic of the Congo,Both sexes,3.6 [2.3-5.3],Central Africa,3.6
Democratic Republic of the Congo,Male,1.6 [0.7-3.3],Central Africa,1.6
Democratic Republic of the Congo,Female,5.4 [3.2-8.3],Central Africa,5.4
Denmark,Both sexes,15.0 [12.7-17.5],Northern Europe,15.0
Denmark,Male,16.1 [12.7-19.6],Northern Europe,16.1
Denmark,Female,13.9 [10.5-17.6],Northern Europe,13.9
Djibouti,Both sexes,10.0 [7.1-13.5],East Africa,10.0
Djibouti,Male,5.7 [2.9-9.6],East Africa,5.7
Djibouti,Female,14.1 [9.2-20.1],East Africa,14.1
Dominica,Both sexes,20.8 [16.7-25.3],Caribbean,20.8
Dominica,Male,12.9 [8.3-18.6],Caribbean,12.9
Dominica,Female,28.3 [21.7-35.3],Caribbean,28.3
Dominican Republic,Both sexes,17.9 [14.7-21.3],Caribbean,17.9
Dominican Republic,Male,11.5 [7.7-16.0],Caribbean,11.5
Dominican Republic,Female,24.3 [19.2-29.6],Caribbean,24.3
Ecuador,Both sexes,14.4 [11.0-18.3],South America,14.4
Ecuador,Male,9.8 [5.8-15.0],South America,9.8
Ecuador,Female,18.8 [13.4-24.8],South America,18.8
Egypt,Both sexes,23.8 [20.7-26.9],North Africa,23.8
Egypt,Male,14.9 [11.2-19.2],North Africa,14.9
Egypt,Female,32.4 [27.7-37.3],North Africa,32.4
El Salvador,Both sexes,17.3 [13.6-21.2],Central America,17.3
El Salvador,Male,12.1 [7.6-17.5],Central America,12.1
El Salvador,Female,21.5 [16.3-27.2],Central America,21.5
Equatorial Guinea,Both sexes,4.8 [3.0-7.2],Central Africa,4.8
Equatorial Guinea,Male,2.0 [0.8-4.1],Central Africa,2.0
Equatorial Guinea,Female,7.9 [4.5-12.2],Central Africa,7.9
Eritrea,Both sexes,2.6 [1.7-3.8],East Africa,2.6
Eritrea,Male,1.0 [0.4-1.9],East Africa,1.0
Eritrea,Female,4.0 [2.4-6.1],East Africa,4.0
Estonia,Both sexes,18.0 [15.6-20.5],Eastern Europe,18.0
Estonia,Male,15.3 [12.2-18.8],Eastern Europe,15.3
Estonia,Female,19.9 [16.4-23.7],Eastern Europe,19.9
Eswatini,Both sexes,11.7 [8.6-15.1],Southern Africa,11.7
Eswatini,Male,3.0 [1.5-5.2],Southern Africa,3.0
Eswatini,Female,19.1 [13.6-25.2],Southern Africa,19.1
Ethiopia,Both sexes,2.3 [1.4-3.4],East Africa,2.3
Ethiopia,Male,0.9 [0.4-1.7],East Africa,0.9
Ethiopia,Female,3.6 [2.1-5.6],East Africa,3.6
Fiji,Both sexes,22.6 [18.0-27.4],Oceania,22.6
Fiji,Male,17.0 [11.2-23.5],Oceania,17.0
Fiji,Female,28.2 [21.5-35.3],Oceania,28.2
Finland,Both sexes,17.5 [15.4-19.6],Northern Europe,17.5
Finland,Male,17.7 [14.7-20.9],Northern Europe,17.7
Finland,Female,17.0 [14.3-19.9],Northern Europe,17.0
France,Both sexes,16.9 [14.1-19.8],Western Europe,16.9
France,Male,16.1 [12.2-20.3],Western Europe,16.1
France,Female,17.5 [13.6-21.6],Western Europe,17.5
Gabon,Both sexes,10.3 [7.3-13.9],Central Africa,10.3
Gabon,Male,5.5 [2.6-9.8],Central Africa,5.5
Gabon,Female,14.8 [9.8-20.7],Central Africa,14.8
Gambia,Both sexes,5.6 [4.0-7.5],West Africa,5.6
Gambia,Male,2.6 [1.4-4.4],West Africa,2.6
Gambia,Female,8.8 [5.9-12.2],West Africa,8.8
Georgia,Both sexes,14.9 [11.3-18.7],Eastern Europe,14.9
Georgia,Male,12.2 [7.7-17.9],Eastern Europe,12.2
Georgia,Female,17.0 [12.0-22.6],Eastern Europe,17.0
Germany,Both sexes,17.3 [15.5-19.3],Northern Europe,17.3
Germany,Male,17.8 [15.0-20.7],Northern Europe,17.8
Germany,Female,16.6 [14.2-19.2],Northern Europe,16.6
Ghana,Both sexes,6.4 [5.0-8.0],West Africa,6.4
Ghana,Male,2.2 [1.3-3.5],West Africa,2.2
Ghana,Female,10.3 [7.8-13.3],West Africa,10.3
Greece,Both sexes,19.6 [16.2-23.4],Balkans,19.6
Greece,Male,17.4 [12.5-22.6],Balkans,17.4
Greece,Female,21.7 [16.7-27.3],Balkans,21.7
Grenada,Both sexes,14.8 [11.3-18.9],Caribbean,14.8
Grenada,Male,8.1 [4.7-12.3],Caribbean,8.1
Grenada,Female,21.1 [15.3-27.5],Caribbean,21.1
Guatemala,Both sexes,14.3 [11.4-17.6],Central America,14.3
Guatemala,Male,9.3 [5.7-13.7],Central America,9.3
Guatemala,Female,18.9 [14.4-23.8],Central America,18.9
Guinea,Both sexes,4.3 [3.0-5.8],West Africa,4.3
Guinea,Male,1.8 [0.9-3.3],West Africa,1.8
Guinea,Female,6.6 [4.3-9.4],West Africa,6.6
Guinea-Bissau,Both sexes,5.1 [3.4-7.1],West Africa,5.1
Guinea-Bissau,Male,2.2 [1.0-4.0],West Africa,2.2
Guinea-Bissau,Female,7.7 [4.9-11.3],West Africa,7.7
Guyana,Both sexes,13.3 [9.9-17.1],South America,13.3
Guyana,Male,7.2 [4.1-11.4],South America,7.2
Guyana,Female,19.1 [13.4-25.5],South America,19.1
Haiti,Both sexes,12.6 [9.6-16.1],Caribbean,12.6
Haiti,Male,8.3 [4.7-13.1],Caribbean,8.3
Haiti,Female,16.5 [11.9-21.6],Caribbean,16.5
Honduras,Both sexes,14.0 [10.9-17.5],Central America,14.0
Honduras,Male,9.2 [5.6-14.0],Central America,9.2
Honduras,Female,18.7 [14.0-23.9],Central America,18.7
Hungary,Both sexes,20.5 [17.1-24.4],Eastern Europe,20.5
Hungary,Male,20.4 [15.6-25.8],Eastern Europe,20.4
Hungary,Female,20.5 [15.6-25.8],Eastern Europe,20.5
Iceland,Both sexes,17.1 [14.4-19.9],Northern Europe,17.1
Iceland,Male,17.7 [13.8-22.0],Northern Europe,17.7
Iceland,Female,16.4 [12.9-20.3],Northern Europe,16.4
India,Both sexes,1.9 [1.6-2.3],South Asia,1.9
India,Male,1.2 [0.9-1.6],South Asia,1.2
India,Female,2.7 [2.1-3.4],South Asia,2.7
Indonesia,Both sexes,3.2 [2.3-4.1],Southeast Asia,3.2
Indonesia,Male,1.7 [1.0-2.6],Southeast Asia,1.7
Indonesia,Female,4.5 [3.1-6.3],Southeast Asia,4.5
Iran (Islamic Republic of),Both sexes,18.0 [16.2-19.9],Central Asia,18.0
Iran (Islamic Republic of),Male,11.8 [9.7-14.0],Central Asia,11.8
Iran (Islamic Republic of),Female,24.7 [21.7-27.8],Central Asia,24.7
Iraq,Both sexes,23.5 [19.6-27.5],Middle East,23.5
Iraq,Male,16.2 [11.3-21.6],Middle East,16.2
Iraq,Female,30.4 [24.2-36.8],Middle East,30.4
Ireland,Both sexes,17.6 [14.4-20.9],Western Europe,17.6
Ireland,Male,17.0 [12.5-21.9],Western Europe,17.0
Ireland,Female,18.1 [14.0-22.5],Western Europe,18.1
Israel,Both sexes,22.1 [18.6-25.8],Middle East,22.1
Israel,Male,20.1 [15.4-25.6],Middle East,20.1
Israel,Female,23.7 [18.9-29.2],Middle East,23.7
Italy,Both sexes,15.9 [14.0-18.0],Southern Europe,15.9
Italy,Male,15.1 [12.5-17.9],Southern Europe,15.1
Italy,Female,16.6 [13.9-19.5],Southern Europe,16.6
Jamaica,Both sexes,17.4 [14.6-20.5],Caribbean,17.4
Jamaica,Male,9.0 [6.2-12.4],Caribbean,9.0
Jamaica,Female,25.5 [20.7-30.6],Caribbean,25.5
Japan,Both sexes,2.4 [2.0-2.8],East Asia,2.4
Japan,Male,2.2 [1.7-2.9],East Asia,2.2
Japan,Female,2.5 [1.9-3.1],East Asia,2.5
Jordan,Both sexes,28.1 [24.9-31.4],Middle East,28.1
Jordan,Male,20.1 [15.8-24.9],Middle East,20.1
Jordan,Female,36.5 [31.9-41.2],Middle East,36.5
Kazakhstan,Both sexes,15.1 [11.7-18.8],Central Asia,15.1
Kazakhstan,Male,12.8 [8.2-18.3],Central Asia,12.8
Kazakhstan,Female,16.9 [12.4-22.0],Central Asia,16.9
Kenya,Both sexes,3.8 [2.6-5.2],East Africa,3.8
Kenya,Male,1.4 [0.6-2.5],East Africa,1.4
Kenya,Female,6.1 [4.0-8.7],East Africa,6.1
Kiribati,Both sexes,37.4 [32.3-42.7],Oceania,37.4
Kiribati,Male,31.9 [24.6-39.5],Oceania,31.9
