Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,0.7 [0.3-1.4],South Asia,0.7
Afghanistan,Male,0.3 [0.1-0.8],South Asia,0.3
Afghanistan,Female,1.1 [0.4-2.4],South Asia,1.1
Albania,Both sexes,7.4 [4.6-11.0],Balkans,7.4
Albania,Male,5.4 [2.4-9.7],Balkans,5.4
Albania,Female,9.5 [5.0-15.5],Balkans,9.5
Algeria,Both sexes,8.3 [5.2-12.0],North Africa,8.3
Algeria,Male,3.6 [1.6-6.7],North Africa,3.6
Algeria,Female,12.7 [7.3-19.3],North Africa,12.7
Andorra,Both sexes,15.5 [11.1-20.6],Southern Europe,15.5
Andorra,Male,12.3 [6.9-18.9],Southern Europe,12.3
Andorra,Female,18.5 [11.9-26.1],Southern Europe,18.5
Angola,Both sexes,1.1 [0.4-2.3],Southern Africa,1.1
Angola,Male,0.3 [0.1-1.0],Southern Africa,0.3
Angola,Female,1.8 [0.6-4.0],Southern Africa,1.8
Antigua and Barbuda,Both sexes,6.6 [4.0-10.0],Caribbean,6.6
Antigua and Barbuda,Male,2.9 [1.2-5.8],Caribbean,2.9
Antigua and Barbuda,Female,10.3 [5.5-16.6],Caribbean,10.3
Argentina,Both sexes,12.8 [9.3-16.8],South America,12.8
Argentina,Male,10.6 [6.3-16.1],South America,10.6
Argentina,Female,14.7 [9.8-20.8],South America,14.7
Armenia,Both sexes,8.7 [5.6-12.6],Eastern Europe,8.7
Armenia,Male,5.7 [2.5-10.1],Eastern Europe,5.7
Armenia,Female,11.1 [6.3-17.4],Eastern Europe,11.1
Australia,Both sexes,11.9 [9.6-14.4],Oceania,11.9
Australia,Male,11.2 [8.0-14.6],Oceania,11.2
Australia,Female,12.6 [9.4-16.0],Oceania,12.6
Austria,Both sexes,8.1 [5.9-10.7],Eastern Europe,8.1
Austria,Male,7.4 [4.5-11.3],Eastern Europe,7.4
Austria,Female,8.6 [5.6-12.2],Eastern Europe,8.6
Azerbaijan,Both sexes,7.4 [4.5-11.2],Eastern Europe,7.4
Azerbaijan,Male,4.5 [1.9-8.6],Eastern Europe,4.5
Azerbaijan,Female,9.7 [5.1-15.8],Eastern Europe,9.7
Bahamas,Both sexes,14.1 [9.8-19.1],Caribbean,14.1
Bahamas,Male,7.2 [3.5-12.4],Caribbean,7.2
Bahamas,Female,20.3 [12.9-28.6],Caribbean,20.3
Bahrain,Both sexes,15.4 [11.4-19.9],Middle East,15.4
Bahrain,Male,10.1 [5.7-15.6],Middle East,10.1
Bahrain,Female,23.8 [16.5-31.8],Middle East,23.8
Bangladesh,Both sexes,0.3 [0.1-0.6],South Asia,0.3
Bangladesh,Male,0.1 [0.0-0.4],South Asia,0.1
Bangladesh,Female,0.5 [0.2-1.2],South Asia,0.5
Barbados,Both sexes,9.3 [6.3-13.0],Caribbean,9.3
Barbados,Male,3.9 [1.9-6.9],Caribbean,3.9
Barbados,Female,13.6 [8.5-20.0],Caribbean,13.6
Belarus,Both sexes,11.7 [7.6-16.6],Eastern Europe,11.7
Belarus,Male,6.2 [3.0-11.1],Eastern Europe,6.2
Belarus,Female,15.8 [9.0-24.3],Eastern Europe,15.8
Belgium,Both sexes,11.6 [9.2-14.2],Western Europe,11.6
Belgium,Male,9.7 [6.7-13.2],Western Europe,9.7
Belgium,Female,13.2 [9.6-17.2],Western Europe,13.2
Belize,Both sexes,9.7 [6.4-13.7],Central America,9.7
Belize,Male,4.7 [2.2-8.5],Central America,4.7
Belize,Female,14.8 [9.0-21.7],Central America,14.8
