Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,3.4 [2.1-5.1],South Asia,3.4
Afghanistan,Male,1.8 [0.8-3.7],South Asia,1.8
Afghanistan,Female,4.9 [2.8-8.0],South Asia,4.9
Albania,Both sexes,16.5 [12.9-20.3],Balkans,16.5
Albania,Male,15.5 [10.4-21.2],Balkans,15.5
Albania,Female,17.5 [12.6-23.0],Balkans,17.5
Algeria,Both sexes,21.4 [17.6-25.4],North Africa,21.4
Algeria,Male,14.0 [9.5-19.1],North Africa,14.0
Algeria,Female,28.8 [23.1-34.8],North Africa,28.8
Andorra,Both sexes,23.8 [19.2-28.7],Southern Europe,23.8
Andorra,Male,22.9 [16.3-30.1],Southern Europe,22.9
Andorra,Female,24.5 [18.0-31.6],Southern Europe,24.5
Angola,Both sexes,5.3 [3.2-8.0],Southern Africa,5.3
Angola,Male,2.3 [0.9-4.5],Southern Africa,2.3
Angola,Female,8.0 [4.4-12.9],Southern Africa,8.0
Antigua and Barbuda,Both sexes,15.1 [11.2-19.3],Caribbean,15.1
Antigua and Barbuda,Male,8.6 [4.9-13.4],Caribbean,8.6
Antigua and Barbuda,Female,21.3 [14.8-28.5],Caribbean,21.3
Argentina,Both sexes,23.9 [20.3-27.7],South America,23.9
Argentina,Male,22.5 [17.5-28.2],South America,22.5
Argentina,Female,25.0 [20.2-30.2],South America,25.0
Armenia,Both sexes,16.4 [12.9-20.1],Eastern Europe,16.4
Armenia,Male,13.2 [8.4-18.8],Eastern Europe,13.2
Armenia,Female,19.1 [14.1-24.7],Eastern Europe,19.1
Australia,Both sexes,24.0 [21.6-26.6],Oceania,24.0
Australia,Male,24.0 [20.4-27.8],Oceania,24.0
Australia,Female,24.0 [20.6-27.6],Oceania,24.0
Austria,Both sexes,16.5 [13.4-19.8],Eastern Europe,16.5
Austria,Male,17.4 [12.9-22.6],Eastern Europe,17.4
Austria,Female,15.5 [11.6-19.8],Eastern Europe,15.5
Azerbaijan,Both sexes,15.2 [11.6-19.1],Eastern Europe,15.2
Azerbaijan,Male,11.4 [7.0-16.7],Eastern Europe,11.4
Azerbaijan,Female,18.6 [13.4-24.5],Eastern Europe,18.6
Bahamas,Both sexes,27.1 [22.1-32.2],Caribbean,27.1
Bahamas,Male,19.4 [13.1-26.5],Caribbean,19.4
Bahamas,Female,34.1 [26.4-42.0],Caribbean,34.1
Bahrain,Both sexes,25.4 [21.4-29.5],Middle East,25.4
Bahrain,Male,20.6 [15.2-26.3],Middle East,20.6
Bahrain,Female,33.2 [27.3-39.1],Middle East,33.2
Bangladesh,Both sexes,2.0 [1.4-2.8],South Asia,2.0
Bangladesh,Male,1.2 [0.6-2.0],South Asia,1.2
Bangladesh,Female,3.0 [1.9-4.4],South Asia,3.0
Barbados,Both sexes,18.4 [15.0-22.1],Caribbean,18.4
Barbados,Male,10.6 [7.0-15.1],Caribbean,10.6
Barbados,Female,25.8 [20.3-32.0],Caribbean,25.8
Belarus,Both sexes,21.2 [17.0-25.7],Eastern Europe,21.2
Belarus,Male,17.6 [12.0-24.0],Eastern Europe,17.6
Belarus,Female,24.1 [17.8-30.8],Eastern Europe,24.1
Belgium,Both sexes,19.2 [16.7-21.7],Western Europe,19.2
Belgium,Male,19.1 [15.8-22.8],Western Europe,19.1
Belgium,Female,19.1 [15.8-22.6],Western Europe,19.1
Belize,Both sexes,19.6 [15.5-24.0],Central America,19.6
Belize,Male,12.4 [8.0-17.9],Central America,12.4
Belize,Female,26.6 [20.1-33.4],Central America,26.6
Benin,Both sexes,6.7 [5.1-8.7],West Africa,6.7
Benin,Male,3.0 [1.6-5.0],West Africa,3.0
Benin,Female,10.1 [7.3-13.4],West Africa,10.1
Bhutan,Both sexes,3.9 [2.5-5.5],South Asia,3.9
Bhutan,Male,2.6 [1.3-4.6],South Asia,2.6
Bhutan,Female,5.5 [3.2-8.4],South Asia,5.5
Bolivia (Plurinational State of),Both sexes,16.1 [12.4-20.1],South America,16.1
Bolivia (Plurinational State of),Male,10.7 [6.2-16.4],South America,10.7
Bolivia (Plurinational State of),Female,21.1 [15.4-27.1],South America,21.1
Bosnia and Herzegovina,Both sexes,14.6 [11.5-18.0],Balkans,14.6
Bosnia and Herzegovina,Male,13.3 [9.0-18.3],Balkans,13.3
Bosnia and Herzegovina,Female,15.7 [11.4-20.7],Balkans,15.7
Botswana,Both sexes,15.8 [12.2-19.6],Southern Africa,15.8
Botswana,Male,5.6 [3.1-9.0],Southern Africa,5.6
Botswana,Female,25.1 [18.6-31.9],Southern Africa,25.1
Brazil,Both sexes,17.8 [15.6-20.0],South America,17.8
Brazil,Male,14.1 [11.4-17.1],South America,14.1
Brazil,Female,21.1 [17.9-24.3],South America,21.1
Brunei Darussalam,Both sexes,9.8 [7.2-12.8],Southeast Asia,9.8
Brunei Darussalam,Male,7.9 [4.8-12.0],Southeast Asia,7.9
Brunei Darussalam,Female,11.7 [7.9-16.4],Southeast Asia,11.7
Bulgaria,Both sexes,21.2 [17.0-25.6],Balkans,21.2
Bulgaria,Male,20.5 [14.7-27.0],Balkans,20.5
Bulgaria,Female,21.6 [15.6-27.9],Balkans,21.6
Burkina Faso,Both sexes,3.3 [2.3-4.5],West Africa,3.3
Burkina Faso,Male,1.4 [0.7-2.4],West Africa,1.4
Burkina Faso,Female,4.9 [3.2-7.0],West Africa,4.9
Burundi,Both sexes,3.4 [2.2-5.0],East Africa,3.4
Burundi,Male,1.3 [0.5-2.4],East Africa,1.3
Burundi,Female,5.5 [3.2-8.4],East Africa,5.5
Cabo Verde,Both sexes,8.6 [6.1-11.3],West Africa,8.6
Cabo Verde,Male,4.3 [2.3-7.1],West Africa,4.3
Cabo Verde,Female,12.0 [8.0-16.6],West Africa,12.0
Cambodia,Both sexes,2.3 [1.5-3.3],Southeast Asia,2.3
Cambodia,Male,1.5 [0.7-2.8],Southeast Asia,1.5
Cambodia,Female,3.0 [1.8-4.5],Southeast Asia,3.0
Cameroon,Both sexes,8.0 [6.2-9.9],Central Africa,8.0
Cameroon,Male,3.9 [2.3-5.9],Central Africa,3.9
Cameroon,Female,11.9 [9.0-15.3],Central Africa,11.9
Canada,Both sexes,24.4 [21.8-27.1],North America,24.4
Canada,Male,24.1 [20.3-28.1],North America,24.1
Canada,Female,24.6 [21.0-28.4],North America,24.6
Central African Republic,Both sexes,5.2 [3.3-7.6],Central Africa,5.2
Central African Republic,Male,2.3 [1.0-4.4],Central Africa,2.3
Central African Republic,Female,7.7 [4.5-12.1],Central Africa,7.7
