Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.1 [0.5-2.0],South Asia,1.1
Afghanistan,Male,0.5 [0.1-1.2],South Asia,0.5
Afghanistan,Female,1.6 [0.7-3.2],South Asia,1.6
Albania,Both sexes,9.0 [6.2-12.5],Balkans,9.0
Albania,Male,7.0 [3.7-11.6],Balkans,7.0
Albania,Female,11.0 [6.7-16.5],Balkans,11.0
Algeria,Both sexes,11.0 [7.8-14.6],North Africa,11.0
Algeria,Male,5.4 [2.8-8.9],North Africa,5.4
Algeria,Female,16.3 [10.9-22.4],North Africa,16.3
Andorra,Both sexes,18.6 [14.1-23.5],Southern Europe,18.6
Andorra,Male,15.7 [9.7-22.5],Southern Europe,15.7
Andorra,Female,21.3 [14.8-28.6],Southern Europe,21.3
Angola,Both sexes,1.7 [0.8-3.1],Southern Africa,1.7
Angola,Male,0.6 [0.1-1.4],Southern Africa,0.6
Angola,Female,2.7 [1.1-5.3],Southern Africa,2.7
Antigua and Barbuda,Both sexes,8.5 [5.6-11.9],Caribbean,8.5
Antigua and Barbuda,Male,4.0 [1.9-7.3],Caribbean,4.0
Antigua and Barbuda,Female,12.8 [7.7-19.1],Caribbean,12.8
Argentina,Both sexes,15.4 [12.0-19.1],South America,15.4
Argentina,Male,13.3 [8.8-18.7],South America,13.3
Argentina,Female,17.2 [12.5-22.6],South America,17.2
Armenia,Both sexes,10.6 [7.3-14.3],Eastern Europe,10.6
Armenia,Male,7.5 [3.8-12.3],Eastern Europe,7.5
Armenia,Female,13.2 [8.5-18.9],Eastern Europe,13.2
Australia,Both sexes,14.2 [12.0-16.5],Oceania,14.2
Australia,Male,13.5 [10.4-16.7],Oceania,13.5
Australia,Female,14.7 [11.8-17.9],Oceania,14.7
Austria,Both sexes,9.8 [7.5-12.4],Eastern Europe,9.8
Austria,Male,9.4 [6.2-13.4],Eastern Europe,9.4
Austria,Female,10.0 [7.0-13.5],Eastern Europe,10.0
Azerbaijan,Both sexes,9.1 [6.1-12.6],Eastern Europe,9.1
Azerbaijan,Male,5.9 [2.9-10.2],Eastern Europe,5.9
Azerbaijan,Female,11.6 [7.1-17.4],Eastern Europe,11.6
Bahamas,Both sexes,17.5 [13.0-22.4],Caribbean,17.5
Bahamas,Male,9.9 [5.6-15.7],Caribbean,9.9
Bahamas,Female,24.2 [17.0-32.1],Caribbean,24.2
Bahrain,Both sexes,18.0 [14.3-22.1],Middle East,18.0
Bahrain,Male,12.5 [8.0-17.8],Middle East,12.5
Bahrain,Female,26.3 [19.8-33.0],Middle East,26.3
Bangladesh,Both sexes,0.6 [0.3-0.9],South Asia,0.6
Bangladesh,Male,0.3 [0.1-0.6],South Asia,0.3
Bangladesh,Female,0.9 [0.4-1.6],South Asia,0.9
Barbados,Both sexes,11.0 [8.1-14.4],Caribbean,11.0
Barbados,Male,5.0 [2.8-8.1],Caribbean,5.0
Barbados,Female,15.9 [11.1-21.8],Caribbean,15.9
Belarus,Both sexes,14.4 [10.3-18.9],Eastern Europe,14.4
Belarus,Male,8.9 [5.0-14.1],Eastern Europe,8.9
Belarus,Female,18.7 [12.3-26.0],Eastern Europe,18.7
Belgium,Both sexes,13.2 [11.1-15.5],Western Europe,13.2
Belgium,Male,11.7 [8.9-14.8],Western Europe,11.7
Belgium,Female,14.6 [11.5-17.9],Western Europe,14.6
Belize,Both sexes,11.5 [8.2-15.3],Central America,11.5
Belize,Male,6.0 [3.2-9.9],Central America,6.0
Belize,Female,17.1 [11.4-23.7],Central America,17.1
Benin,Both sexes,2.6 [1.5-3.9],West Africa,2.6
Benin,Male,0.9 [0.3-1.8],West Africa,0.9
Benin,Female,3.9 [2.2-6.2],West Africa,3.9
Bhutan,Both sexes,1.0 [0.5-1.7],South Asia,1.0
Bhutan,Male,0.5 [0.2-1.2],South Asia,0.5
Bhutan,Female,1.5 [0.6-2.9],South Asia,1.5
Bolivia (Plurinational State of),Both sexes,8.1 [5.3-11.5],South America,8.1
Bolivia (Plurinational State of),Male,4.2 [1.8-8.1],South America,4.2
Bolivia (Plurinational State of),Female,11.6 [6.8-17.4],South America,11.6
Bosnia and Herzegovina,Both sexes,9.2 [6.5-12.5],Balkans,9.2
Bosnia and Herzegovina,Male,6.9 [3.7-11.1],Balkans,6.9
Bosnia and Herzegovina,Female,11.1 [6.9-16.5],Balkans,11.1
Botswana,Both sexes,6.1 [3.7-9.4],Southern Africa,6.1
Botswana,Male,1.1 [0.4-2.3],Southern Africa,1.1
Botswana,Female,10.4 [6.0-16.3],Southern Africa,10.4
Brazil,Both sexes,9.0 [7.1-11.1],South America,9.0
Brazil,Male,6.0 [4.1-8.5],South America,6.0
Brazil,Female,11.8 [8.8-15.4],South America,11.8
Brunei Darussalam,Both sexes,3.8 [2.3-5.7],Southeast Asia,3.8
Brunei Darussalam,Male,2.4 [1.0-4.5],Southeast Asia,2.4
Brunei Darussalam,Female,5.4 [2.8-9.0],Southeast Asia,5.4
Bulgaria,Both sexes,14.5 [10.7-18.9],Balkans,14.5
