Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,2.9 [1.7-4.4],South Asia,2.9
Afghanistan,Male,1.5 [0.6-3.1],South Asia,1.5
Afghanistan,Female,4.2 [2.3-7.0],South Asia,4.2
Albania,Both sexes,14.9 [11.5-18.7],Balkans,14.9
Albania,Male,13.7 [9.0-19.1],Balkans,13.7
Albania,Female,16.2 [11.5-21.5],Balkans,16.2
Algeria,Both sexes,19.6 [16.0-23.4],North Africa,19.6
Algeria,Male,12.3 [8.2-17.2],North Africa,12.3
Algeria,Female,26.8 [21.2-32.9],North Africa,26.8
Andorra,Both sexes,23.2 [18.6-28.1],Southern Europe,23.2
Andorra,Male,22.0 [15.4-29.0],Southern Europe,22.0
Andorra,Female,24.3 [17.7-31.2],Southern Europe,24.3
Angola,Both sexes,4.5 [2.7-7.0],Southern Africa,4.5
Angola,Male,1.9 [0.7-3.8],Southern Africa,1.9
Angola,Female,6.9 [3.7-11.3],Southern Africa,6.9
Antigua and Barbuda,Both sexes,14.0 [10.3-18.1],Caribbean,14.0
Antigua and Barbuda,Male,7.8 [4.4-12.3],Caribbean,7.8
Antigua and Barbuda,Female,19.9 [13.8-27.0],Caribbean,19.9
Argentina,Both sexes,22.5 [19.1-26.2],South America,22.5
Argentina,Male,21.0 [16.1-26.3],South America,21.0
Argentina,Female,23.7 [19.1-28.9],South America,23.7
Armenia,Both sexes,15.4 [12.0-19.0],Eastern Europe,15.4
Armenia,Male,12.1 [7.5-17.6],Eastern Europe,12.1
Armenia,Female,18.0 [13.2-23.5],Eastern Europe,18.0
Australia,Both sexes,22.4 [20.1-24.9],Oceania,22.4
Australia,Male,22.3 [18.8-25.8],Oceania,22.3
Australia,Female,22.5 [19.3-25.9],Oceania,22.5
Austria,Both sexes,15.4 [12.5-18.6],Eastern Europe,15.4
Austria,Male,16.1 [11.8-21.1],Eastern Europe,16.1
Austria,Female,14.7 [11.0-18.8],Eastern Europe,14.7
Azerbaijan,Both sexes,13.9 [10.6-17.7],Eastern Europe,13.9
Azerbaijan,Male,10.2 [6.0-15.3],Eastern Europe,10.2
Azerbaijan,Female,17.2 [12.3-22.8],Eastern Europe,17.2
Bahamas,Both sexes,25.7 [20.8-30.8],Caribbean,25.7
Bahamas,Male,17.9 [11.8-24.7],Caribbean,17.9
Bahamas,Female,32.7 [25.3-40.5],Caribbean,32.7
Bahrain,Both sexes,24.4 [20.5-28.3],Middle East,24.4
Bahrain,Male,19.3 [14.0-24.9],Middle East,19.3
Bahrain,Female,32.1 [26.4-37.9],Middle East,32.1
Bangladesh,Both sexes,1.7 [1.1-2.4],South Asia,1.7
Bangladesh,Male,0.9 [0.4-1.7],South Asia,0.9
Bangladesh,Female,2.5 [1.5-3.8],South Asia,2.5
Barbados,Both sexes,17.0 [13.7-20.5],Caribbean,17.0
Barbados,Male,9.5 [6.2-13.6],Caribbean,9.5
Barbados,Female,24.1 [18.8-29.9],Caribbean,24.1
Belarus,Both sexes,20.2 [15.9-24.7],Eastern Europe,20.2
Belarus,Male,16.1 [10.8-22.4],Eastern Europe,16.1
Belarus,Female,23.4 [17.1-30.1],Eastern Europe,23.4
Belgium,Both sexes,18.2 [15.9-20.6],Western Europe,18.2
Belgium,Male,17.9 [14.7-21.4],Western Europe,17.9
Belgium,Female,18.4 [15.3-21.8],Western Europe,18.4
Belize,Both sexes,18.2 [14.4-22.4],Central America,18.2
Belize,Male,11.2 [7.1-16.4],Central America,11.2
Belize,Female,25.1 [18.8-31.8],Central America,25.1
Benin,Both sexes,6.0 [4.4-7.8],West Africa,6.0
Benin,Male,2.6 [1.4-4.4],West Africa,2.6
Benin,Female,8.9 [6.3-12.0],West Africa,8.9
Bhutan,Both sexes,3.2 [2.0-4.7],South Asia,3.2
Bhutan,Male,2.1 [1.0-3.8],South Asia,2.1
Bhutan,Female,4.6 [2.6-7.2],South Asia,4.6
Bolivia (Plurinational State of),Both sexes,14.8 [11.3-18.7],South America,14.8
Bolivia (Plurinational State of),Male,9.6 [5.4-15.0],South America,9.6
Bolivia (Plurinational State of),Female,19.6 [14.2-25.5],South America,19.6
Bosnia and Herzegovina,Both sexes,13.7 [10.7-17.1],Balkans,13.7
Bosnia and Herzegovina,Male,12.2 [8.0-17.1],Balkans,12.2
Bosnia and Herzegovina,Female,15.0 [10.7-19.8],Balkans,15.0
Botswana,Both sexes,14.8 [11.1-18.5],Southern Africa,14.8
Botswana,Male,4.9 [2.6-8.0],Southern Africa,4.9
Botswana,Female,23.6 [17.1-30.4],Southern Africa,23.6
Brazil,Both sexes,16.4 [14.4-18.5],South America,16.4
Brazil,Male,12.8 [10.2-15.5],South America,12.8
Brazil,Female,19.7 [16.7-22.7],South America,19.7
Brunei Darussalam,Both sexes,8.6 [6.2-11.4],Southeast Asia,8.6
Brunei Darussalam,Male,6.7 [3.9-10.5],Southeast Asia,6.7
Brunei Darussalam,Female,10.6 [6.9-15.0],Southeast Asia,10.6
