Country,Sex,Obesity (%),Region,BMI
Afghanistan,Both sexes,1.0 [0.5-1.8],South Asia,1.0
Afghanistan,Male,0.4 [0.1-1.0],South Asia,0.4
Afghanistan,Female,1.5 [0.6-3.0],South Asia,1.5
Albania,Both sexes,8.5 [5.7-12.0],Balkans,8.5
Albania,Male,6.5 [3.3-10.9],Balkans,6.5
Albania,Female,10.6 [6.2-16.2],Balkans,10.6
Algeria,Both sexes,10.2 [7.0-13.7],North Africa,10.2
Algeria,Male,4.8 [2.4-8.1],North Africa,4.8
Algeria,Female,15.2 [9.8-21.4],North Africa,15.2
Andorra,Both sexes,17.8 [13.3-22.7],Southern Europe,17.8
Andorra,Male,14.7 [9.0-21.5],Southern Europe,14.7
Andorra,Female,20.6 [14.1-28.0],Southern Europe,20.6
Angola,Both sexes,1.5 [0.7-2.8],Southern Africa,1.5
Angola,Male,0.5 [0.1-1.3],Southern Africa,0.5
Angola,Female,2.4 [0.9-4.9],Southern Africa,2.4
Antigua and Barbuda,Both sexes,7.9 [5.1-11.3],Caribbean,7.9
Antigua and Barbuda,Male,3.7 [1.7-6.8],Caribbean,3.7
Antigua and Barbuda,Female,12.0 [7.0-18.2],Caribbean,12.0
Argentina,Both sexes,14.6 [11.3-18.3],South America,14.6
Argentina,Male,12.5 [8.0-17.9],South America,12.5
Argentina,Female,16.4 [11.6-22.1],South America,16.4
Armenia,Both sexes,10.1 [6.8-13.8],Eastern Europe,10.1
Armenia,Male,6.9 [3.4-11.6],Eastern Europe,6.9
Armenia,Female,12.7 [7.8-18.5],Eastern Europe,12.7
Australia,Both sexes,13.5 [11.3-15.8],Oceania,13.5
Australia,Male,12.8 [9.7-16.0],Oceania,12.8
Australia,Female,14.1 [11.1-17.2],Oceania,14.1
Austria,Both sexes,9.3 [7.1-11.9],Eastern Europe,9.3
Austria,Male,8.8 [5.7-12.7],Eastern Europe,8.8
Austria,Female,9.6 [6.6-13.1],Eastern Europe,9.6
Azerbaijan,Both sexes,8.6 [5.6-12.2],Eastern Europe,8.6
Azerbaijan,Male,5.5 [2.6-9.7],Eastern Europe,5.5
Azerbaijan,Female,11.1 [6.5-16.9],Eastern Europe,11.1
Bahamas,Both sexes,16.5 [12.1-21.4],Caribbean,16.5
Bahamas,Male,9.1 [4.9-14.6],Caribbean,9.1
Bahamas,Female,23.0 [15.8-31.1],Caribbean,23.0
Bahrain,Both sexes,17.3 [13.6-21.5],Middle East,17.3
Bahrain,Male,11.7 [7.3-17.0],Middle East,11.7
Bahrain,Female,25.5 [19.0-32.6],Middle East,25.5
Bangladesh,Both sexes,0.5 [0.2-0.8],South Asia,0.5
Bangladesh,Male,0.2 [0.1-0.5],South Asia,0.2
Bangladesh,Female,0.8 [0.3-1.5],South Asia,0.8
Barbados,Both sexes,10.5 [7.7-14.1],Caribbean,10.5
Barbados,Male,4.7 [2.5-7.8],Caribbean,4.7
Barbados,Female,15.3 [10.4-21.3],Caribbean,15.3
Belarus,Both sexes,13.7 [9.6-18.2],Eastern Europe,13.7
Belarus,Male,8.1 [4.4-13.1],Eastern Europe,8.1
Belarus,Female,17.9 [11.4-25.5],Eastern Europe,17.9
Belgium,Both sexes,12.7 [10.6-15.1],Western Europe,12.7
Belgium,Male,11.1 [8.2-14.2],Western Europe,11.1
Belgium,Female,14.2 [11.0-17.6],Western Europe,14.2
Belize,Both sexes,11.0 [7.7-14.8],Central America,11.0
Belize,Male,5.6 [2.9-9.4],Central America,5.6
Belize,Female,16.4 [10.7-23.0],Central America,16.4
Benin,Both sexes,2.3 [1.3-3.5],West Africa,2.3
Benin,Male,0.8 [0.3-1.6],West Africa,0.8
Benin,Female,3.4 [1.9-5.7],West Africa,3.4
Bhutan,Both sexes,0.8 [0.4-1.5],South Asia,0.8
Bhutan,Male,0.4 [0.1-1.0],South Asia,0.4
Bhutan,Female,1.3 [0.5-2.6],South Asia,1.3
Bolivia (Plurinational State of),Both sexes,7.4 [4.7-10.7],South America,7.4
Bolivia (Plurinational State of),Male,3.8 [1.5-7.4],South America,3.8
Bolivia (Plurinational State of),Female,10.7 [6.1-16.4],South America,10.7
Bosnia and Herzegovina,Both sexes,8.7 [6.0-12.1],Balkans,8.7
Bosnia and Herzegovina,Male,6.3 [3.3-10.4],Balkans,6.3
Bosnia and Herzegovina,Female,10.6 [6.4-16.1],Balkans,10.6
